type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycellium, fungal mass or whole fungi",any additional information,source_file
Methyl red,Improved dikaryon,unknown,0.1% Tween-80,unknown,unknown,unknown,unknown,maximum with Tween-80,mycelium,Surfactants affected enzyme activity and dye decolorization,Bioremediation+of+direct+blue+14+and+extracellular+ligninolytic+enzyme+production+by+white+rot+fungi%3A+Pleurotus+Spp._.txt
Lignin,Bjerkandera adusta R59,0.20%,10^5 cfu/ml,static,26°C,18 days,6.54,100%,mycelium,Started on the 5th day of the experiment,Removal+of+humic+acid+fraction+by+Rhizopus+arrhizus%3A+uptake+and+kinetic+studies_.txt
Humic Acids from Brown Coal,Bjerkandera adusta R59,0.03%,10^5 cfu/ml,static,26°C,18 days,6.54,100%,mycelium,Started on the 3rd day of growth,Removal+of+humic+acid+fraction+by+Rhizopus+arrhizus%3A+uptake+and+kinetic+studies_.txt
Humic Acids from Lessive Soil,Bjerkandera adusta R59,0.03%,10^5 cfu/ml,static,26°C,18 days,6.54,100%,mycelium,Started on the 3rd day of growth,Removal+of+humic+acid+fraction+by+Rhizopus+arrhizus%3A+uptake+and+kinetic+studies_.txt
Humic Acids from Chernozem,Bjerkandera adusta R59,0.01%,10^5 cfu/ml,static,26°C,7 days,6.54,100%,mycelium,Total visible decolorization observed,Removal+of+humic+acid+fraction+by+Rhizopus+arrhizus%3A+uptake+and+kinetic+studies_.txt
Lignin,Bjerkandera adusta R59,0.20%,10^5 cfu/ml,static,26°C,60 days,pH changes from 6.54 to around 5.05-5.3,50%,mycelium,Visible decolorization observed on the 17th day,Removal+of+humic+acid+fraction+by+Rhizopus+arrhizus%3A+uptake+and+kinetic+studies_.txt
Humic Acids from Brown Coal,Bjerkandera adusta R59,0.01%,10^5 cfu/ml,static,26°C,60 days,pH changes from 6.54 to around 5.05-5.3,74%,mycelium,Started decolorization on the 7th day,Removal+of+humic+acid+fraction+by+Rhizopus+arrhizus%3A+uptake+and+kinetic+studies_.txt
Humic Acids from Lessive Soil,Bjerkandera adusta R59,0.01%,10^5 cfu/ml,static,26°C,60 days,pH changes from 6.54 to around 5.05-5.3,90.50%,mycelium,Started decolorization on the 7th day,Removal+of+humic+acid+fraction+by+Rhizopus+arrhizus%3A+uptake+and+kinetic+studies_.txt
Humic Acids from Chernozem,Bjerkandera adusta R59,0.01%,10^5 cfu/ml,static,26°C,30 days,pH changes from 6.54 to around 5.05-5.3,Around 60% observed,mycelium,Started absorption after 30 days,Removal+of+humic+acid+fraction+by+Rhizopus+arrhizus%3A+uptake+and+kinetic+studies_.txt
,Trametes hirsuta,,,shaking,25°C,20 days,5.8,Not applicable,whole fungi,Maximum laccase activity of 7614 U/L at 20th day,Enhancement+of+Laccase+Production+in+Trametes+pubescens_.txt
,Trametes hirsuta,,,shaking,25°C,5 days,5.8,Not applicable,whole fungi,Addition of 1mM Copper Sulphate resulted in laccase activity of 17074 U/L,Enhancement+of+Laccase+Production+in+Trametes+pubescens_.txt
,Trametes hirsuta,,,shaking,25°C,5 days,5.8,Not applicable,whole fungi,"1mM 2,5 xylidine addition resulted in maximum laccase activity of 23543 U/L",Enhancement+of+Laccase+Production+in+Trametes+pubescens_.txt
,Trametes hirsuta,,,shaking,25°C,5 days,5.8,Not applicable,whole fungi,Maximum laccase activity of 25889 U/L using Plakett-Burman design,Enhancement+of+Laccase+Production+in+Trametes+pubescens_.txt
,Trametes hirsuta,,,shaking,25°C,5 days,5.8,Not applicable,whole fungi,Different lignocellulosic materials tested; Wheat Bran yielded 9300 U/L,Enhancement+of+Laccase+Production+in+Trametes+pubescens_.txt
,Trametes hirsuta,,,shaking,25°C,5 days,5.8,Not applicable,whole fungi,Peptone as nitrogen source provided maximum laccase activity of 17390 U/L,Enhancement+of+Laccase+Production+in+Trametes+pubescens_.txt
,Trametes hirsuta,,,shaking,25°C,5 days,5.8,Not applicable,whole fungi,Control with no copper sulphate had laccase activity of 4236 U/L,Enhancement+of+Laccase+Production+in+Trametes+pubescens_.txt
,Trametes hirsuta,,,shaking,25°C,5 days,5.8,Not applicable,whole fungi,"Highest laccase activity observed with 1mM 2, 5 xylidine after 3rd day of addition",Enhancement+of+Laccase+Production+in+Trametes+pubescens_.txt
Congo Red,T. virens (fresh biomass),50 mg L−1,,shaking,28 °C,8 days,6,93%,mycelium,,Removal+of+Congo+red+from+an+aqueous+solution+by+fungus+Aspergillus+niger_.txt
Congo Red,T. viride (fresh biomass),50 mg L−1,,shaking,28 °C,8 days,6,93%,mycelium,,Removal+of+Congo+red+from+an+aqueous+solution+by+fungus+Aspergillus+niger_.txt
Congo Red,T. virens (dead biomass),50 mg L−1,,shaking,28 °C,8 days,6,94%,mycelium,,Removal+of+Congo+red+from+an+aqueous+solution+by+fungus+Aspergillus+niger_.txt
Congo Red,T. viride (dead biomass),50 mg L−1,,shaking,28 °C,8 days,6,95%,mycelium,,Removal+of+Congo+red+from+an+aqueous+solution+by+fungus+Aspergillus+niger_.txt
Malachite Green,T. virens (fresh biomass),50 mg L−1,,shaking,28 °C,8 days,6,95%,mycelium,,Removal+of+Congo+red+from+an+aqueous+solution+by+fungus+Aspergillus+niger_.txt
Malachite Green,T. viride (fresh biomass),50 mg L−1,,shaking,28 °C,8 days,6,75%,mycelium,,Removal+of+Congo+red+from+an+aqueous+solution+by+fungus+Aspergillus+niger_.txt
Malachite Green,T. virens (dead biomass),50 mg L−1,,shaking,28 °C,8 days,6,87%,mycelium,,Removal+of+Congo+red+from+an+aqueous+solution+by+fungus+Aspergillus+niger_.txt
Malachite Green,T. viride (dead biomass),50 mg L−1,,shaking,28 °C,8 days,6,82%,mycelium,,Removal+of+Congo+red+from+an+aqueous+solution+by+fungus+Aspergillus+niger_.txt
Congo Red,Dry Biomass (T. virens),60 mg L−1,,stirring,25 °C,24 h,6,,dry biomass,,Removal+of+Congo+red+from+an+aqueous+solution+by+fungus+Aspergillus+niger_.txt
Congo Red,Dry Biomass (T. viride),60 mg L−1,,stirring,25 °C,24 h,6,,dry biomass,,Removal+of+Congo+red+from+an+aqueous+solution+by+fungus+Aspergillus+niger_.txt
Malachite Green,Dry Biomass (T. virens),60 mg L−1,,stirring,25 °C,24 h,6,,dry biomass,,Removal+of+Congo+red+from+an+aqueous+solution+by+fungus+Aspergillus+niger_.txt
Malachite Green,Dry Biomass (T. viride),60 mg L−1,,stirring,25 °C,24 h,6,,dry biomass,,Removal+of+Congo+red+from+an+aqueous+solution+by+fungus+Aspergillus+niger_.txt
,Lentinula edodes,,,none,25 °C,30 days,"5.06 (0 days), 4.39 (5 days), 4.56 (10 days), 4.23 (15 days), 3.77 (20 days), 3.59 (25 days), 4.16 (30 days)",20 UI.L-1,mycelium,The greatest MnP activity was observed on the 25th day.,Decolorization+of+synthetic+dyes+by+solid+state+culture+of+Lentinula+%28Lentinus%29+edodes+producing+manganese+peroxidase+as+the+main+lignolytic+enzyme_.txt
,Lentinula boryana,,,none,20 °C,30 days,"5.06 (0 days), 4.57 (5 days), 4.65 (10 days), 4.56 (15 days), 4.26 (20 days), 4.10 (25 days), 4.50 (30 days)",70 UI.L-1,mycelium,Peak enzyme activity observed on the 25th day.,Decolorization+of+synthetic+dyes+by+solid+state+culture+of+Lentinula+%28Lentinus%29+edodes+producing+manganese+peroxidase+as+the+main+lignolytic+enzyme_.txt
,Lentinula edodes,,,shaking,20 °C,10 days,"4.64 (0 days), 4.57 (15 days), 4.87 (30 days)",around 110 UI.L-1,mycelium,Optimal results in solid state fermentation.,Decolorization+of+synthetic+dyes+by+solid+state+culture+of+Lentinula+%28Lentinus%29+edodes+producing+manganese+peroxidase+as+the+main+lignolytic+enzyme_.txt
,Lentinula boryana,,,shaking,20 °C,20-25 days,"4.64 (0 days), 4.54 (15 days), 4.99 (30 days)",around 110 UI.L-1,mycelium,Enzyme expression was optimal within this range.,Decolorization+of+synthetic+dyes+by+solid+state+culture+of+Lentinula+%28Lentinus%29+edodes+producing+manganese+peroxidase+as+the+main+lignolytic+enzyme_.txt
Malachite green,Pleurotus eryngii,10 mg/L,10 g/L,shaking,25°C,120 min,7,47.20%,mycelium,Decolorization rate observed after 30 min.,Biological+decolorization+of+dye+solution+containing+malachite+green+by+Pandoraea+sp._.txt
Malachite green,Pleurotus eryngii,50 mg/L,10 g/L,shaking,25°C,120 min,7,Much lower than initial; specific percentage not provided.,mycelium,Decolorization decreased as concentration increased.,Biological+decolorization+of+dye+solution+containing+malachite+green+by+Pandoraea+sp._.txt
Malachite green,Pleurotus eryngii,20 mg/L,10 g/L,shaking,30°C,120 min,7,Maximal decolorization of 97.4%,mycelium,Optimization study for the best pH level.,Biological+decolorization+of+dye+solution+containing+malachite+green+by+Pandoraea+sp._.txt
Malachite green,Pleurotus eryngii,20 mg/L,10 g/L,shaking,50°C,120 min,7,decreased significantly above 50°C,mycelium,Temperature above 50°C negatively impacted decolorization.,Biological+decolorization+of+dye+solution+containing+malachite+green+by+Pandoraea+sp._.txt
Malachite green,Pleurotus eryngii,20 mg/L,10 g/L,shaking,30°C,120 min,9,93.60%,mycelium,High pH yielded very effective decolorization.,Biological+decolorization+of+dye+solution+containing+malachite+green+by+Pandoraea+sp._.txt
Malachite green,Pleurotus eryngii,100 mg/L,10 g/L,shaking,30°C,120 min,7,Not specified but noted as significantly poor.,mycelium,Experimental result indicated toxicity impact.,Biological+decolorization+of+dye+solution+containing+malachite+green+by+Pandoraea+sp._.txt
Malachite green,DyP-PE (Peroxidase from Pleurotus eryngii),10 mg/L,0.05 mg/mL of DyP-PE,not specified,30°C,2 h,7,97.50%,DyP-PE enzyme,High effectiveness of DyP-PE reported in decolorizing MG.,Biological+decolorization+of+dye+solution+containing+malachite+green+by+Pandoraea+sp._.txt
Malachite green,DyP-PE (Peroxidase from Pleurotus eryngii),20 mg/L,0.05 mg/mL of DyP-PE,not specified,30°C,2 h,7,94.30%,DyP-PE enzyme,Further confirmation of DyP-PE's capability.,Biological+decolorization+of+dye+solution+containing+malachite+green+by+Pandoraea+sp._.txt
Malachite green,DyP-PE (Peroxidase from Pleurotus eryngii),30 mg/L,0.05 mg/mL of DyP-PE,not specified,30°C,2 h,7,90.20%,DyP-PE enzyme,This shows DyP-PE's consistent performance.,Biological+decolorization+of+dye+solution+containing+malachite+green+by+Pandoraea+sp._.txt
triarylmethane,Trametes hirsuta,0.25 mM,1.5 g (wet weight),shaking,30°C,8 days,5,Yes (specifically noted decolorization of various dyes),mycelium,Initial decolorization rates varied with specific dye types.,Decolorization+and+detoxification+of+textile+dyes+with+a+laccase+from+Trametes+hirsuta_.txt
azo,Trametes hirsuta,0.25 mM,1.5 g (wet weight),shaking,30°C,8 days,5,Yes,mycelium,Observations indicated that anthraquinonic dyes and indigo carmine degraded faster than azo dyes.,Decolorization+and+detoxification+of+textile+dyes+with+a+laccase+from+Trametes+hirsuta_.txt
indigoid,Trametes hirsuta,0.25 mM,1.5 g (wet weight),shaking,30°C,8 days,5,Yes,mycelium,Rapid decolorization rate noted.,Decolorization+and+detoxification+of+textile+dyes+with+a+laccase+from+Trametes+hirsuta_.txt
anthraquinonic,Trametes hirsuta,0.25 mM,1.5 g (wet weight),shaking,30°C,8 days,5,Yes,mycelium,Detoxification of this category was noted to be around 80%.,Decolorization+and+detoxification+of+textile+dyes+with+a+laccase+from+Trametes+hirsuta_.txt
Reactive Blue 221,laccase,0.25 mM,10 nkat/ml laccase,shaking,30°C,10 hours,5,Yes,,Decolorization was monitored spectrophotometrically.,Decolorization+and+detoxification+of+textile+dyes+with+a+laccase+from+Trametes+hirsuta_.txt
Reactive Black 5,laccase,0.25 mM,10 nkat/ml laccase,shaking,30°C,10 hours,5,Yes,,Observed similar degradation pattern to microbial.,Decolorization+and+detoxification+of+textile+dyes+with+a+laccase+from+Trametes+hirsuta_.txt
Direct Blue 71,laccase,0.25 mM,10 nkat/ml laccase,shaking,30°C,10 hours,5,Yes,,Amplified results in decolorization efficiency noted.,Decolorization+and+detoxification+of+textile+dyes+with+a+laccase+from+Trametes+hirsuta_.txt
Basic Red 9 Base,laccase,0.25 mM,10 nkat/ml laccase,shaking,30°C,10 hours,5,Yes,,Initial decolorization rates slightly lower than other dyes.,Decolorization+and+detoxification+of+textile+dyes+with+a+laccase+from+Trametes+hirsuta_.txt
Acid Blue 225,laccase,0.25 mM,10 nkat/ml laccase,shaking,30°C,10 hours,5,Yes,,Demonstrated effective recovery of enzyme activity.,Decolorization+and+detoxification+of+textile+dyes+with+a+laccase+from+Trametes+hirsuta_.txt
Azo-dyes,Trametes versicolor,Unspecified,Unspecified,Solid state fermentation,Unspecified,Unspecified,Unspecified,Achieved significant biochemical differences,Fungal mass,Focus on oxidation of various compounds with environmental impacts,Inhibition+of+laccase+activity+from+Trametes+versicolor+by+heavy+metals+and+organic+comp.._.txt
Phenolic compounds,Pleurotus ostreatus,Unspecified,Unspecified,Submerged fermentation,Unspecified,Unspecified,Unspecified,Production levels increased,Fungal mass,Evaluated the residual compost as a source of crude laccase,Inhibition+of+laccase+activity+from+Trametes+versicolor+by+heavy+metals+and+organic+comp.._.txt
Various synthetic dyes,Coriolopsis rigida,Unspecified,Unspecified,Solid-state fermentation,Unspecified,Unspecified,Unspecified,25-fold increase in laccase production,Fungal mass,Used nut shells as lignocellulosic waste for production,Inhibition+of+laccase+activity+from+Trametes+versicolor+by+heavy+metals+and+organic+comp.._.txt
Lignin,Trametes versicolor,Unspecified,Unspecified,Liquid medium,Unspecified,Unspecified,Unspecified,Increased production with various inducers,Mycelium,Laccase genes expression was affected by specific substrates,Inhibition+of+laccase+activity+from+Trametes+versicolor+by+heavy+metals+and+organic+comp.._.txt
Crystal violet,Chryseomonas luteola (A1),0.05 g/dm3,-,Not specified,26 °C,7 days,-,26.80%,whole fungi,Sorption: 18.5%,Decolorization+of+triphenylmethane+dyes+by+Kurthia+species_.txt
Crystal violet,Chryseomonas luteola (A3),0.05 g/dm3,-,Not specified,26 °C,7 days,-,42.00%,whole fungi,Sorption: 7.2%,Decolorization+of+triphenylmethane+dyes+by+Kurthia+species_.txt
Crystal violet,Pseudomonas aeruginosa (B2),0.05 g/dm3,-,Not specified,26 °C,7 days,-,40.50%,whole fungi,Sorption: 28.2%,Decolorization+of+triphenylmethane+dyes+by+Kurthia+species_.txt
Crystal violet,Burkholderia cepacia (B3),0.05 g/dm3,-,Not specified,26 °C,7 days,-,30.30%,whole fungi,Sorption: 7.6%,Decolorization+of+triphenylmethane+dyes+by+Kurthia+species_.txt
Crystal violet,Polyporus picipes (RWP1),0.05 g/dm3,-,Not specified,26 °C,7 days,-,72.40%,whole fungi,Sorption: 70.4%,Decolorization+of+triphenylmethane+dyes+by+Kurthia+species_.txt
Crystal violet,RWP17,0.05 g/dm3,-,Not specified,26 °C,7 days,-,75.90%,whole fungi,Sorption: 59.7%,Decolorization+of+triphenylmethane+dyes+by+Kurthia+species_.txt
Crystal violet,SM,0.05 g/dm3,-,Not specified,26 °C,7 days,-,73.20%,whole fungi,Sorption: 68.3%,Decolorization+of+triphenylmethane+dyes+by+Kurthia+species_.txt
Brilliant green,Chryseomonas luteola (A1),0.05 g/dm3,-,Not specified,26 °C,7 days,-,79.30%,whole fungi,Sorption: 14.4%,Decolorization+of+triphenylmethane+dyes+by+Kurthia+species_.txt
Brilliant green,Chryseomonas luteola (A3),0.05 g/dm3,-,Not specified,26 °C,7 days,-,88.60%,whole fungi,Sorption: 50.2%,Decolorization+of+triphenylmethane+dyes+by+Kurthia+species_.txt
Brilliant green,Pseudomonas aeruginosa (B2),0.05 g/dm3,-,Not specified,26 °C,7 days,-,85.10%,whole fungi,Sorption: 13.4%,Decolorization+of+triphenylmethane+dyes+by+Kurthia+species_.txt
Brilliant green,Burkholderia cepacia (B3),0.05 g/dm3,-,Not specified,26 °C,7 days,-,79.90%,whole fungi,Sorption: 0.7%,Decolorization+of+triphenylmethane+dyes+by+Kurthia+species_.txt
Brilliant green,Polyporus picipes (RWP1),0.05 g/dm3,-,Not specified,26 °C,7 days,-,72.10%,whole fungi,Sorption: 48.1%,Decolorization+of+triphenylmethane+dyes+by+Kurthia+species_.txt
Brilliant green,RWP17,0.05 g/dm3,-,Not specified,26 °C,7 days,-,62.50%,whole fungi,Sorption: 53.1%,Decolorization+of+triphenylmethane+dyes+by+Kurthia+species_.txt
Brilliant green,SM,0.05 g/dm3,-,Not specified,26 °C,7 days,-,95.10%,whole fungi,Sorption: 89.7%,Decolorization+of+triphenylmethane+dyes+by+Kurthia+species_.txt
Brilliant green,L4,0.05 g/dm3,-,Not specified,26 °C,7 days,-,75.80%,whole fungi,Sorption: 42.0%,Decolorization+of+triphenylmethane+dyes+by+Kurthia+species_.txt
Thymol blue,Polyporus picipes (RWP1),0.05 g/dm3,-,Not specified,26 °C,7 days,-,about 95%,whole fungi,Sorption: ~89.7%,Decolorization+of+triphenylmethane+dyes+by+Kurthia+species_.txt
Thymol blue,RWP17,0.05 g/dm3,-,Not specified,26 °C,7 days,-,about 95%,whole fungi,Sorption: ~93%,Decolorization+of+triphenylmethane+dyes+by+Kurthia+species_.txt
Thymol blue,SM,0.05 g/dm3,-,Not specified,26 °C,7 days,-,about 95%,whole fungi,Sorption: ~93%,Decolorization+of+triphenylmethane+dyes+by+Kurthia+species_.txt
Thymol blue,L4,0.05 g/dm3,-,Not specified,26 °C,7 days,-,31.40%,whole fungi,-,Decolorization+of+triphenylmethane+dyes+by+Kurthia+species_.txt
Cresol red,SM,0.05 g/dm3,-,Not specified,26 °C,7 days,-,75%,whole fungi,-,Decolorization+of+triphenylmethane+dyes+by+Kurthia+species_.txt
Cresol red,RWP17,0.05 g/dm3,-,Not specified,26 °C,7 days,-,about 75%,whole fungi,-,Decolorization+of+triphenylmethane+dyes+by+Kurthia+species_.txt
Cresol red,L4,0.05 g/dm3,-,Not specified,26 °C,7 days,-,97.90%,whole fungi,-,Decolorization+of+triphenylmethane+dyes+by+Kurthia+species_.txt
Cresol red,Burkholderia cepacia (B3),0.05 g/dm3,-,,,,,,,,Decolorization+of+triphenylmethane+dyes+by+Kurthia+species_.txt
crystal violet,Bjerkandera adusta SWUSI4,50 mg L-1,4 g,shaking,30 °C,7 days,,92%,mycellium,,Decolorization+and+detoxification+of+triphenylmethane+dyes+by+isolated+endophytic+fungus%2C+Bjerkandera+adusta+SWUSI4+under+non-nutritive+conditions_.txt
crystal violet,Bjerkandera adusta SWUSI4,100 mg L-1,2 g,shaking,30 °C,14 days,,72%,mycellium,,Decolorization+and+detoxification+of+triphenylmethane+dyes+by+isolated+endophytic+fungus%2C+Bjerkandera+adusta+SWUSI4+under+non-nutritive+conditions_.txt
methyl violet,Bjerkandera adusta SWUSI4,50 mg L-1,4 g,shaking,30 °C,7 days,,94%,mycellium,,Decolorization+and+detoxification+of+triphenylmethane+dyes+by+isolated+endophytic+fungus%2C+Bjerkandera+adusta+SWUSI4+under+non-nutritive+conditions_.txt
methyl violet,Bjerkandera adusta SWUSI4,100 mg L-1,2 g,shaking,30 °C,14 days,,81%,mycellium,,Decolorization+and+detoxification+of+triphenylmethane+dyes+by+isolated+endophytic+fungus%2C+Bjerkandera+adusta+SWUSI4+under+non-nutritive+conditions_.txt
malachite green,Bjerkandera adusta SWUSI4,50 mg L-1,4 g,shaking,30 °C,7 days,,97%,mycellium,,Decolorization+and+detoxification+of+triphenylmethane+dyes+by+isolated+endophytic+fungus%2C+Bjerkandera+adusta+SWUSI4+under+non-nutritive+conditions_.txt
malachite green,Bjerkandera adusta SWUSI4,100 mg L-1,2 g,shaking,30 °C,14 days,,90%,mycellium,,Decolorization+and+detoxification+of+triphenylmethane+dyes+by+isolated+endophytic+fungus%2C+Bjerkandera+adusta+SWUSI4+under+non-nutritive+conditions_.txt
cotton blue,Bjerkandera adusta SWUSI4,50 mg L-1,4 g,shaking,30 °C,7 days,,94%,mycellium,,Decolorization+and+detoxification+of+triphenylmethane+dyes+by+isolated+endophytic+fungus%2C+Bjerkandera+adusta+SWUSI4+under+non-nutritive+conditions_.txt
cotton blue,Bjerkandera adusta SWUSI4,100 mg L-1,2 g,shaking,30 °C,14 days,,89%,mycellium,,Decolorization+and+detoxification+of+triphenylmethane+dyes+by+isolated+endophytic+fungus%2C+Bjerkandera+adusta+SWUSI4+under+non-nutritive+conditions_.txt
crystal violet,Bjerkandera adusta SWUSI4,250 mg L-1,2 g,shaking,30 °C,14 days,,34%,mycellium,,Decolorization+and+detoxification+of+triphenylmethane+dyes+by+isolated+endophytic+fungus%2C+Bjerkandera+adusta+SWUSI4+under+non-nutritive+conditions_.txt
methyl violet,Bjerkandera adusta SWUSI4,250 mg L-1,2 g,shaking,30 °C,14 days,,37%,mycellium,,Decolorization+and+detoxification+of+triphenylmethane+dyes+by+isolated+endophytic+fungus%2C+Bjerkandera+adusta+SWUSI4+under+non-nutritive+conditions_.txt
malachite green,Bjerkandera adusta SWUSI4,250 mg L-1,2 g,shaking,30 °C,14 days,,67%,mycellium,,Decolorization+and+detoxification+of+triphenylmethane+dyes+by+isolated+endophytic+fungus%2C+Bjerkandera+adusta+SWUSI4+under+non-nutritive+conditions_.txt
cotton blue,Bjerkandera adusta SWUSI4,250 mg L-1,2 g,shaking,30 °C,14 days,,35%,mycellium,,Decolorization+and+detoxification+of+triphenylmethane+dyes+by+isolated+endophytic+fungus%2C+Bjerkandera+adusta+SWUSI4+under+non-nutritive+conditions_.txt
crystal violet,Bjerkandera adusta SWUSI4,50 mg L-1,4 g,static,30 °C,7 days,,27%,mycellium,,Decolorization+and+detoxification+of+triphenylmethane+dyes+by+isolated+endophytic+fungus%2C+Bjerkandera+adusta+SWUSI4+under+non-nutritive+conditions_.txt
methyl violet,Bjerkandera adusta SWUSI4,50 mg L-1,4 g,static,30 °C,7 days,,71%,mycellium,,Decolorization+and+detoxification+of+triphenylmethane+dyes+by+isolated+endophytic+fungus%2C+Bjerkandera+adusta+SWUSI4+under+non-nutritive+conditions_.txt
malachite green,Bjerkandera adusta SWUSI4,50 mg L-1,4 g,static,30 °C,7 days,,64%,mycellium,,Decolorization+and+detoxification+of+triphenylmethane+dyes+by+isolated+endophytic+fungus%2C+Bjerkandera+adusta+SWUSI4+under+non-nutritive+conditions_.txt
cotton blue,Bjerkandera adusta SWUSI4,50 mg L-1,4 g,static,30 °C,7 days,,58%,mycellium,,Decolorization+and+detoxification+of+triphenylmethane+dyes+by+isolated+endophytic+fungus%2C+Bjerkandera+adusta+SWUSI4+under+non-nutritive+conditions_.txt
S m-g,Phanerochaete chrysosporium,50 mg l−1,5 plugs of 8 mm,Certomat rotary shaker,30 °C,28 days,4.5,83% at day 14,whole fungi,"Inoculum from PAM, significant biodegradation observed",Biodegradation+of+bioaccessible+textile+azo+dyes+by+Phanerochaete+chrysosporium_.txt
S m-g,Phanerochaete chrysosporium,50 mg l−1,5 plugs of 8 mm,Certomat rotary shaker,30 °C,28 days,4.5,"75% at day 7, 83% at day 14",whole fungi,PAM used as pre-growth medium,Biodegradation+of+bioaccessible+textile+azo+dyes+by+Phanerochaete+chrysosporium_.txt
S p-g,Phanerochaete chrysosporium,50 mg l−1,5 plugs of 8 mm,Certomat rotary shaker,30 °C,28 days,4.5,89% at day 14,whole fungi,Significant relationships between structure and biodegradability observed,Biodegradation+of+bioaccessible+textile+azo+dyes+by+Phanerochaete+chrysosporium_.txt
C m-s,Phanerochaete chrysosporium,50 mg l−1,5 plugs of 8 mm,Certomat rotary shaker,30 °C,28 days,4.5,88% at day 14,whole fungi,PAM used as pre-growth medium,Biodegradation+of+bioaccessible+textile+azo+dyes+by+Phanerochaete+chrysosporium_.txt
C m-g,Phanerochaete chrysosporium,50 mg l−1,5 plugs of 8 mm,Certomat rotary shaker,30 °C,28 days,4.5,88% at day 14,whole fungi,PAM used as pre-growth medium,Biodegradation+of+bioaccessible+textile+azo+dyes+by+Phanerochaete+chrysosporium_.txt
S m-s,Phanerochaete chrysosporium,50 mg l−1,5 plugs of 8 mm,Certomat rotary shaker,30 °C,28 days,4.5,85% at day 14,whole fungi,PAM used as pre-growth medium,Biodegradation+of+bioaccessible+textile+azo+dyes+by+Phanerochaete+chrysosporium_.txt
anionic surfactants,Pseudomonas nitroreducens,not stated,not stated,not stated,not stated,not stated,not stated,greater than 90%,whole fungi,Aerobic treatment systems incorporate a supply of molecular oxygen.,Evolution+of+the+microbial+community+in+a+full-scale+printing+and+dyeing+wastewater+treatment+system_.txt
cationic surfactants,Pseudomonas sp.,not stated,not stated,not stated,not stated,not stated,not stated,not stated,whole fungi,Cationic surfactants degradation occurs through several distinct pathways.,Evolution+of+the+microbial+community+in+a+full-scale+printing+and+dyeing+wastewater+treatment+system_.txt
nonionic surfactants,Pseudomonas aeruginosa,not stated,not stated,not stated,not stated,not stated,not stated,not stated,whole fungi,The degradation of nonionic surfactants is initiated by the breaking of ether bonds.,Evolution+of+the+microbial+community+in+a+full-scale+printing+and+dyeing+wastewater+treatment+system_.txt
amphoteric surfactants,Desulfobacterium,not stated,not stated,not stated,not stated,not stated,not stated,up to 100%,whole fungi,Amphoteric surfactants usually have easy biodegradability.,Evolution+of+the+microbial+community+in+a+full-scale+printing+and+dyeing+wastewater+treatment+system_.txt
textile dyes,Pleurotus ostreatus,not stated,not stated,static,not stated,not stated,not stated,complete degradation noted,whole fungi,Mycoremediation applications can successfully remove synthetic dyes.,Evolution+of+the+microbial+community+in+a+full-scale+printing+and+dyeing+wastewater+treatment+system_.txt
,Trametes pubescens MB89,,0.87 ± 0.28 g/L,shaking,28 °C,15 days,3.75 adjusted to 5.0,,whole fungi,Used distillery wastewater,Induction+of+Laccase+Production+by+T.+pubescens+with+Phenolic+Effluent_.txt
,Trametes pubescens MB89,,1.27 ± 0.31 g/L,shaking,28 °C,15 days,5,"Glucose, fructose, sucrose, and cellobiose improved laccase yield 1.7-fold",whole fungi,Investigated different carbon sources,Induction+of+Laccase+Production+by+T.+pubescens+with+Phenolic+Effluent_.txt
,Trametes pubescens MB89,,0.76 ± 0.25 g/L,shaking,28 °C,14 days,5,,whole fungi,Used modified wine-related wastewaters,Induction+of+Laccase+Production+by+T.+pubescens+with+Phenolic+Effluent_.txt
,Trametes pubescens MB89,,0.76 ± 0.25 g/L,shaking,28 °C,14 days,5,"Highest increase with combined use of glucose, copper, and 2,5-xylidine",whole fungi,Tests showed varied efficacy across substrate types,Induction+of+Laccase+Production+by+T.+pubescens+with+Phenolic+Effluent_.txt
"2,5-xylidine",Trametes pubescens MB89,1 mM,0.76 ± 0.25 g/L,shaking,28 °C,14 days,5,,whole fungi,Single and multiple dosing studied,Induction+of+Laccase+Production+by+T.+pubescens+with+Phenolic+Effluent_.txt
Phenol,Trametes versicolor,20% v/v,5g/L,static culture,28°C,16 days,neutral,Complete removal,,Highest concentration removed,Development+of+a+Combined+Membrane-Ring+Sparger+for+Efficient+Gas+Utilization_.txt
p-cresol,Trametes versicolor,20% v/v,5g/L,static culture,28°C,16 days,neutral,Complete removal,,Highest concentration removed,Development+of+a+Combined+Membrane-Ring+Sparger+for+Efficient+Gas+Utilization_.txt
m-cresol,Trametes versicolor,20% v/v,5g/L,static culture,28°C,16 days,neutral,Complete removal,,Highest concentration removed,Development+of+a+Combined+Membrane-Ring+Sparger+for+Efficient+Gas+Utilization_.txt
o-cresol,Trametes versicolor,20% v/v,5g/L,static culture,28°C,16 days,neutral,Complete removal,,Highest concentration removed,Development+of+a+Combined+Membrane-Ring+Sparger+for+Efficient+Gas+Utilization_.txt
Phenol,Trametes pubescens,5% v/v,10 g/L,airlift loop reactor,optimised,7 days,optimised,Maximum laccase activity of 11.8 U/mL,,Sequential additions used,Development+of+a+Combined+Membrane-Ring+Sparger+for+Efficient+Gas+Utilization_.txt
