filename,status,baseline_score,few_shot_examples_score,chain_of_thought_score
Simulation+of+buoyancy+driven+bubbly+flow%3A+established+simplifications+and+open+questions_.txt,processed,0,0.2,0.1
Mutagenicity+Assessment+of+Textile+Dyes+from+Sanganer%2C+Jaipur+%28India%29-A+case+study_.txt,processed,0.2222222222,0.2,0.1
NTP+toxicology+and+carcinogenesis+studies+of+p-nitroaniline+%28CAS+No.+100-01-6%29+in+B6C3F1+mice+%28gavage+studies%29_.txt,processed,0,0.2,0.2
Bacterial+Decolorization+of+Textile+Azo+Dye+Acid+Orange+by+Staphylococcus+hominis+RMLRT03_.txt,processed,0.5555555556,0.7,0.7
Biodecolorization+of+textile+azo+dye+using+Bacillus+sp.+strain+CH12+isolated+from+alkaline+lake..._.txt,processed,0.7777777778,0.8,0.1
Transformation+of+Cu+%28nanoparticles%29+during+sewage+sludge+incineration+studied+by+bulk-+and+micro-XAS_.txt,processed,0.1111111111,0.2,0.2
The+mechanisms+involved+in+the+long-lasting+neuroprotective+effect+of+fluoxetine+against+MDMA-induced+degeneration+of+5-HT+nerve+endings+in+rat+brain_.txt,processed,0,0.2,0.1
Biological+decolorization+of+dye+solution+containing+malachite+green+by+Pandoraea+pulmonicola+YC32+using+a+batch+and+continuous+system_.txt,processed,0.2222222222,0.8,0.2
Accurate+mass+measurements+for+the+confirmation+of+Sudan+azo-dyes+in+hot+chilli+products+by+capillary+liquid+chromatography-electrospray+tandem+quadrupole+orthogonal-acceleration+time+of+flight+mass+s_.txt,processed,0,0.1,0.1
Wastewater+nutrient+removal+with+microalgae+immobilized+in+carrageenan_.txt,processed,0.1111111111,0.8,0.2
Adsorption+and+release+properties+of+growth+factors+from+biodegradable+implants_.txt,processed,0,0.1,0.1
Effects+of+hydraulic+retention+time+%28HRT%29+on+denitrification_.txt,processed,0.2222222222,0.2,0.3
Tailor-made+biocatalysts+based+on+scarcely+studied+acidic+horseradish+peroxidase+for+biodegradation+of+reactive+dyes_.txt,processed,0.8888888889,0.8,0.8
Degradation+of+Phenolic+Compounds+in+Bioreactors_.txt,processed,0.2222222222,0.8,0.2
Colour+in+textile+effluents+%E2%80%93+sources%2C+measurement%2C+discharge+consents+and+simulation%3A+a+review_.txt,processed,0.7777777778,0.6,0.8
Enhancing+denitrification+using+a+carbon+supplement+generated+from+the+wet+oxidation+of+waste+activated+sludge_.txt,processed,0.1111111111,0.3,0.1
Effect+of+food+azo+dyes+tartrazine+and+carmoisine+on+biochemical+parameters+related+to+renal%2C+hepatic+function+and+oxidative+stress+biomarkers+in+young+male+rats_.txt,processed,0,0.1,0.1
Intracellular+Enzymes+in+Decolorization+of+Distillery+Effluent_.txt,processed,1,0.9,1
Taxonomy+of+denitrifying+bacteria+in+soddy+podzolic+soil_.txt,processed,0.8888888889,0.9,1
The+Marine+Benthic+Diatoms+in+China+vol.+2_.txt,processed,0,0.3,0.2
Microaerophilic-aerobic+sequential+decolourization%2Fbiodegradation+of+textile+azo+dyes+by+a+facultative+Klebsiella+sp.+strain+VN-31_.txt,processed,0,0.4,0.1
Mass+Spectrometry+of+Organic+Compounds_.txt,processed,0,0.1,0.1
Decolorization+and+degradation+of+reactive+dyes+and+dye+wastewater+by+a+developed+bacterial+consortium_.txt,processed,0.1111111111,0.3,0.2
Comparison+of+nitrogen+removal+and+microbial+properties+in+solid-phase+denitrification+systems+for+water+purification+with+various+pretreated+lignocellulosic+carriers_.txt,processed,0,0.3,0.4
Correction+of+hydrogen+peroxide+interference+on+standard+COD+test_.txt,processed,0.1111111111,0.4,0.1
Assessment+upon+azo+dye+decolorization+and+bioelectricity+generation+by+Proteus+hauseri_.txt,processed,0.3333333333,0.2,0.2
Effect+of+organic+matter+on+the+performance+of+granular+anammox+process_.txt,processed,0.4444444444,0.2,0.3
Brain-derived+fibroblast+growth+factor%3A+a+study+of+its+inactivation_.txt,processed,0,0.2,0.1
Continuous-Flow+Tubular+Crystallization+in+Slugs+Spontaneously+Induced+by+Hydrodynamics_.txt,processed,0,0.1,0.1
Changes+in+microbial+communities+of+a+passive+coal+mine+drainage+bioremediation+system_.txt,processed,0.8888888889,0.9,1
Biodegradation+of+crystal+violet+by+Shewanella+species_.txt,processed,0.1111111111,0.3,0.2
Adsorption+of+reactive+dyes+from+aqueous+solutions+by+tannery+sludge+developed+activated+carbon_.txt,processed,0,0.1,0.1
Alternative+of+solutions+for+the+bio-denitrification+of+landfill+leachates+using+pine+bark+and+compost_.txt,processed,0.1111111111,0.2,0.4
Oxidation+of+various+reactive+dyes+with+in+situ+electro-generated+active+chlorine+for+textile+dyeing+industry+wastewater+treatment_.txt,processed,0,0.3,0.2
In+vitro+and+human+pharmacoscintigraphic+evaluation+of+an+oral+5-ASA+delivery+system+for+colonic+release_.txt,processed,0,0.2,0.1
Bioremediation+of+textile+azo+dyes+by+aerobic+bacterial+consortium_.txt,processed,0.5555555556,0.7,0.2
Microbial+biotechnology+for+the+decolorization+and+mineralization+of+organic+compounds+of+textile+wastewater+by+single+and+mixed+microbial+consortium+isolated+from+effluent+treatment+plant+of+African+textiles+industry+Kano%2C+Nigeria_.txt,processed,0.2222222222,0.2,0.1
Pharmacology+and+pharmacokinetics+of+fosphenytoin_.txt,processed,0,0.1,0.1
Occupational+exposure+to+azo+dyes+and+risk+of+bladder+cancer_.txt,processed,0,0.1,0.1
Ind.+and+Eng.+Chem.%2C+Anal.+Ed.%2C+16%2C+357+%281943%29_.txt,processed,0,0.2,0.1
EEG+findings+in+steroid-responsive+encephalopathy+associated+with+autoimmune+thyroiditis_.txt,processed,0,0.1,0.1
Control+and+regulation+of+gene+expression%3A+quantitative+analysis+of+the+expression+of+phosphoglycerate+kinase+in+bloodstream+form+Trypanosoma+brucei_.txt,processed,0,0.1,0.1
Decolorization+of+triphenylmethane+and+azo+dyes+by+Citrobacter+sp..._.txt,processed,0,0.5,0.2
Organic+contaminants+removal+by+the+technique+of+pulsed+high-voltage+discharge+in+water_.txt,processed,0.2222222222,0.2,0.1
Textile+Organic+Dyes.+Characteristics%2C+Polluting+Effects+and+Separation%2FElimination+Procedures+from+Industrial+Effluents_.txt,processed,0.1111111111,0.4,0.3
Enzymatic+reduction+of+azo+dyes+by+Proteus+vulgaris+from+rats_.txt,processed,0.2222222222,0.6,0.2
Cloning+of+genes+coding+for+L-sorbose+and+L-sorbosone+dehydrogenases_.txt,processed,0,0.1,0.2
Biochemical+characterization+of+a+novel+azo+reductase+named+BVU5+from+the+bacterial+flora+D.._.txt,processed,0.1111111111,0.8,0.2
Decolorization+of+dye+by+wood+rotting+basidiomycete+fungi_.txt,processed,0.8888888889,0.8,0.9
Expression+and+characteristics+of+the+gene+encoding+azoreductase+from+Rhodobacter+sphaeroides+AS1.1737_.txt,processed,0.8888888889,0.3,0.2
Ambulatory+surgery+and+malignant+hyperthermia_.txt,processed,0,0.1,0.1
Removal+of+humic+acid+fraction+by+Rhizopus+arrhizus%3A+uptake+and+kinetic+studies_.txt,processed,0.8888888889,0.9,1
Denitrification+performance+and+microbial+diversity+in+a+packed-bed+bioreactor+using+biodegradable+polymer_.txt,processed,0.1111111111,0.4,0.4
Alteration+in+DNA+cross-linking+and+sequence+selectivity+of+a+series+of+aziridinylbenzoquinones+after+enzymatic+reduction+by+DT-diaphorase_.txt,processed,0,0.2,0.1
Bacteria+production+of+biodegradable+plastics+polyhydroxyalkanoates_.txt,processed,0.3333333333,0.3,0.2
Nicotinamide+adenine+dinucleotide+%28phosphate%29%3A+quinone+oxidoreductase+%28DT-diaphorase..._.txt,processed,0,0.1,0.1
Electricity+generation+directly+using+human+feces+wastewater+for+life+support+system_.txt,processed,0.7777777778,0.7,0.2
Purification+and+characterization+of+an+oxygen+insensitive+azoreductase+from+Pseudomonas+.._.txt,processed,0.7777777778,0.8,0.4
Survey+of+the+important+abalone+species+in+the+world_.txt,processed,0,0.1,0
Performance+of+a+newly+isolated+salt-tolerant+yeast+strain+Sterigmatomyces+halophilus+SSA-1575+for+azo+dye+decolorization+and+detoxification_.txt,processed,0.4444444444,0.8,0.1
Elements+and+innovations+in+the+cultivation+of+red+abalone+Haliotis+rufescens_.txt,processed,0,0.2,0.1
A+semiological+classification+of+status+epilepticus_.txt,processed,0,0.1,0.1
Decolorization+of+azo+dye+R016+in+different+reactors+by+immobilized+Irpex+lacteus_.txt,processed,1,0.9,1
Personal+use+of+hair+dye+and+the+risk+of+certain+subtypes+of+non-Hodgkin+lymphoma_.txt,processed,0,0.1,0.1
Removal+of+lead+from+aqueous+solution+by+activated+carbon+prepared+from+Enteromorpha+prolifera+by+zinc+chloride+activation_.txt,processed,0,0.2,0.2
Visualization+of+detyrosination+along+single+microtubules+reveals+novel+mechanisms+of+assembly+during+cytoskeletal+duplication+in+trypanosomes_.txt,processed,0,0.1,0.1
Cancer+statistics+review+1973-88_.txt,processed,0,0.1,0.1
Catalytic+behavior+and+detoxifying+ability+of+an+a+typical+homotrimericlaccase+from+the+thermophilic+strain+Scytalidium+thermophilum+on+selected+azo+and+triarylmethane+dyes_.txt,processed,0.8888888889,0.9,1
Three-dimensional+multiple-wavelength+fluorescence+microscopy+for+the+structural+analysis+of+biological+phenomena_.txt,processed,0,0.1,0.1
Mixed+silage+of+Elodea+and+wheat+straw+as+a+substrate+for+energy+production+in+anaerobic+digestion+plants_.txt,processed,0.1111111111,0.2,0.3
A+geometric+model+for+intrinsic+residual+strain+and+phase+stability+in+high+entropy+alloys_.txt,processed,0,0.1,0.1
The+GENE-TOX+program%3A+genetic+activity+evaluation_.txt,processed,0,0.1,0.1
Kinetics+of+decolourisation+and+biotransformation+of+direct+black+38+by+C.+hominis+and..._.txt,processed,0,0.2,0.1
Enhanced+biodegradation+of+congo+red+by+using+Bacillus+sp._.txt,processed,0.2222222222,0.5,0.3
Decolorization+of+simulated+textile+wastewater+in+an+anaerobic-aerobic+sequential+treatment+system_.txt,processed,0.8888888889,0.8,0.8
Chlorotriazine+Reactive+Azo+Red%2C+120+Textile+Dye+Induces+Micronuclei+in+Fish_.txt,processed,0,0.2,0.2
Standard+Methods+for+the+Examination+of+Water+and+Wastewater_.txt,processed,0,0.2,0.2
Induction+of+larval+attachment+and+metamorphosis+in+the+abalone+Haliotis+diversicolor+%28Reeve%29_.txt,processed,0,0.8,0.3
Decolorization+of+azo+dyes+with+immobilized+Pseudomonas+luteola_.txt,processed,0,0.1,0.1
Polyhydroxyalkanoates%3A+Current+applications+in+the+medical+field_.txt,processed,0,0.2,0.3
Partial+least+squares+regression%3A+A+tutorial_.txt,processed,0,0.1,0.1
Biodegradation+of+bioaccessible+textile+azo+dyes+by+Phanerochaete+chrysosporium_.txt,processed,1,0.9,0.9
Challenges+of+trace+elements+in+the+Swiss+environment_.txt,processed,0.3333333333,0.3,0.3
Phenoloxidases+in+Portabella+mushrooms_.txt,processed,0.1111111111,0.3,0.2
Decolorization+of+anthraquinone%2C+triphenylmethane+and+azo+dyes+by+a+new+isolated+Bacillus+cereus+strain+DC11_.txt,processed,0.7777777778,0.6,0.3
Design+and+development+of+functionalized+nanoparticles+for+combination+therapy+in+breast+cancer_.txt,processed,0.2222222222,0.2,0.5
MEGA5%3A+Molecular+Evolutionary+Genetics+Analysis+Using+Maximum+Likelihood%2C+Evolutionary+Distance%2C+and+Maximum+Parsimony+Methods_.txt,processed,0,0.1,0.1
Decolorization+of+azo+dyes+by+fungi_.txt,processed,1,0.9,1
High+selectivity+sensing+of+cobalt+in+HepG2+cells+based+on+necklace+model+microenvironment-modulated+carbon+dot-improved+chemiluminescence+in+Fenton-like+system_.txt,processed,0,0.2,0.1
The+role+of+Mn-dependent+peroxidase+in+dye+decolorization+by+static+and+agitated+cultures+of+Irpex+lacteus_.txt,processed,1,0.9,1
Malignant+transformation+by+malachite+green_.txt,processed,1,0.8,1
Utilization+of+Azo+and+Triphenylmethane+dyes+as+a+sole+source+of+carbon%2C+energy+and+nitrogen+by+Bacillus+sp._.txt,processed,0.1111111111,0.9,0.3
Novel+conjugated+hybrid+material+for+efficient+lead%28II%29+capturing+from+contaminated+wastewater_.txt,processed,0,0.2,0.1
Removal+of+anionic+azo+dyes+from+aqueous+solution+using+magnetic+polymer+multi-wall+carbon+nanotube+nanocomposite+as+adsorbent_.txt,processed,0.1111111111,0.2,0.1
Photodegradation+of+dye+pollutant+under+UV+light+by+nano-catalyst+doped+titania+thin+films_.txt,processed,0.1111111111,0.3,0.1
Nitrogen+removal+by+microalgae+via+glutamate+dehydrogenase_.txt,processed,0,0.2,0.2
Isolation+and+characterization+of+microbial+strain+AZO29+capable+of+azo+dye+decolourization_.txt,processed,0.8888888889,0.8,0.3
Enzymatic+reduction+of+azo+and+indigoid+compounds..._.txt,processed,0.8888888889,0.8,0.4
How+much+is+a+clean+beach+worth%3F+The+impact+of+litter+on+beach+users+in+the+Cape+Peninsula%2C+South+Africa_.txt,processed,0,0.3,0.1
Toxicity+and+metabolism+of+malachite+green_.txt,processed,0,0.2,0.1
Copper+modified+iron+oxide+as+heterogeneous+photo-Fenton+reagent+for+dye+degradation_.txt,processed,0.2222222222,0.1,0.1
The+effect+of+pH+on+azo+dye+reduction+by+NADH_.txt,processed,1,0.7,0.8
Removal+of+direct+blue-106+dye+from+aqueous+solution+using+new+activated+carbons+developed+from+pomegranate+peel%3A+adsorption+equilibrium+and+kinetics_.txt,processed,0,0.2,0.1
Biodegradation+of+azo+dyes+by+anaerobic+bacteria+isolated+from+human+intestinal+microflora_.txt,processed,0.2222222222,0.4,0.3
The+role+of+benthic+diatoms+in+the+early+life+stages+of+the+Japanese+abalone+Haliotis+discus+hannai_.txt,processed,0,0.2,0.2
Empirical+statistical+model+to+estimate+the+accuracy+of+peptide+identification+made+by+MS%2FMS+and+database+search_.txt,processed,0,0.1,0.1
Long-term+marine+litter+monitoring+in+the+remote+Great+Australian+Bight%2C+South+Australia_.txt,processed,0,0.1,0.1
Algal+growth+media+and+sources+of+cultures_.txt,processed,0,0.2,0.1
Impact+of+Sparger+Pore+Size+on+Shear+Rates_.txt,processed,0.1111111111,0.3,0.1
Enhanced+carbon+and+nitrogen+removal+performance+of+simultaneously+anammox+and+denitrification+%28SAD%29+with+mannitol+addition+treating+saline+wastewater_.txt,processed,0.1111111111,0.3,0.3
Removal+of+azo+dye+using+Fenton+and+Fenton-like+processes%3A+Evaluation+of+process+factors+by+Box-Behnken+design+and+ecotoxicity+tests_.txt,processed,0.7777777778,0.3,0.3
The+three-dimensional+structure+of+NAD%28P%29H%3Aquinone+reductase%2C+a+flavoprotein+involved+in+cancer+chemoprotection+and+chemotherapy%3A+mechanism+of+the+two-electron+reduction_.txt,processed,0,0.2,0.2
Clinical+Guidelines+for+Ibogaine-Assisted+Detoxification_.txt,processed,0,0.1,0.1
Microbial+decolorization+and+degradation+of+textile+dye_.txt,processed,0.8888888889,0.9,0.9
Step-feeding+organic+carbon+enhances+high-strength+nitrate+and+ammonia+removal+via+DEAMOX+process_.txt,processed,0.2222222222,0.2,0.1
Biodegradation+of+azo+and+triphenylmethane+dyes+by+Amycolatopsis+orientalis_.txt,processed,1,0.8,0.3
New+safety+and+rapid+method+for+extraction+of+genomic+DNA+from+bacteria+and+yeast+strains+suitable+for+PCR+amplifications_.txt,processed,0.8888888889,0.9,1
Economic+and+environmental+analysis+of+five+Chinese+rural+toilet+technologies+based+on+the+economic+input-output+life+cycle+assessment_.txt,processed,0,0.3,0.3
Separation%2C+purification+and+characterization+of+dye+degrading+enzyme+azoreductase+from+ba.._.txt,processed,0.1111111111,0.2,0.2
The+reduction+of+azo+dyes+by+the+intestinal+microflora_.txt,processed,0,0.1,0.1
Constellations+in+a+cellular+universe_.txt,processed,0,0.2,0.1
Treatment+of+patients+with+recurrent+primary+brain+tumors+with+AZQ_.txt,processed,0,0.1,0.1
Removal+of+congo+red+by+wollastonite_.txt,processed,0.1111111111,0.3,0.3
Effect+of+composition%2C+calcination+temperature+%26+time+on+the+photocatalytic+degradation+of+azo+dye+using+Ag%40TiO2+core-shell+nanoparticles+under+sunlight_.txt,processed,0.4444444444,0.3,0.1
Role+of+brown-rot+fungi+in+the+bioremoval+of+azo+dyes+under+different+conditions_.txt,processed,0.8888888889,0.9,1
Relationship+between+microbial+community+and+environmental+conditions+in+a+constructed+wetland+system+treating+greywater_.txt,processed,0.5555555556,0.8,0.2
Treatment+of+refractory+status+epilepticus+with+pentobarbital%2C+propofol%2C+or+midazolam%3A+a+systematic+review_.txt,processed,0,0.1,0.1
Effect+of+some+operational+parameters+on+textile+dye+biodegradation+in+a+sequential+batch+reactor_.txt,processed,0.4444444444,0.8,0.5
Comparison+of+S.+lividans+dye+degrading+capacity+against+clone+SlivAM1_.txt,processed,0.7777777778,0.9,0.3
Adsorption+kinetics+and+thermodynamics+and+equilibrium+of+ibuprofen+from+aqueous+solutions+by+activated+carbon+prepared+from+Lemna+minor_.txt,processed,0.2222222222,0.4,0.1
Seq-Gen%3A+an+application+for+the+Monte+Carlo+simulation+of+DNA+sequence+evolution+along+phylogenetic+trees_.txt,processed,0,0.2,0.2
Microaerophilic-aerobic+sequential+decolourization%2Fbiodegradation+of+textile+azo+dyes+by+a+novel+bacterial+consortium_.txt,processed,0.7777777778,0.3,0.2
Wykorzystanie+kompostu+jako+biosorbentu+w+usuwaniu+barwnik%C3%B3w+kwasowych+ze+%C5%9Bciek%C3%B3w+przemys%C5%82u+w%C5%82%C3%B3kienniczego_.txt,processed,0.6666666667,0.8,0.6
Development+of+probiotic+co-culture+system+and+studies+on+the+production+of+therapeutically+important+compounds_.txt,processed,0.1111111111,0.1,0.3
Nutrition+and+growth+of+abalone_.txt,processed,0,0.2,0.1
Microbial+degradation+of+azo+dyes%3A+A+review_.txt,processed,0.2222222222,0.7,1
Detoxification+of+2%2C4-dichlorophenol+by+the+marine+microalga+Tetraselmis+marina_.txt,processed,0.3333333333,0.8,0.4
Sorption+and+desorption+studies+of+chromium+%28VI%29+from+nonviable+cyanobacterium+Nostoc+muscorum+biomass_.txt,processed,0.6666666667,0.9,0.3
Crystal+structure+of+DsbD+in+E.+coli_.txt,processed,0,0.2,0.1
Plastic+accumulation+in+the+North+Atlantic+Subtropical+Gyre_.txt,processed,0,0.2,0.2
Kinetics+and+mechanism+of+reactive+red+141+degradation+by+a+bacterial+isolate+Rhizobium+radiobacter+MTCC+8161_.txt,processed,0.2222222222,0.8,0.2
Enzymatic+reduction+of+azo+and+indigoid+compounds_.txt,processed,0.7777777778,0.7,0.3
Purification+and+characterization+of+an+oxygen+insensitive+azoreductase+from+Pseudomonas+aeruginosa_.txt,processed,0.1111111111,0.9,0.2
Decolorization+and+detoxification+of+sulfonated+azo+dye+CI+Remazol+red+and+textile+effluent+by+isolated+Lysinibacillus+sp.+RGS_.txt,processed,0.3333333333,0.8,0.5
Biodegradation+of+azo+dyes+and+nitroaromatic+compounds+by+bacterial+enzymes+from+the+human+intestinal+tract_.txt,processed,0,0.3,0.2
Azo+dye+decolorization+by+Shewanellaaquimarina+under+saline+conditions_.txt,processed,0.1111111111,0.3,0.3
Removal+of+cationic+dyes+from+aqueous+solution+using+an+anionic+poly-gamma-glutamic+acid-based+adsorbent_.txt,processed,0.6666666667,0.5,0.3
The+function+of+cytoplasmic+flavin+reductases+in+the+bacterial+reduction+of+azo+dyes_.txt,processed,0,0.1,0.2
Out+of+sight+but+not+out+of+mind%3A+Harmful+effects+of+derelict+traps+in+selected+US+coastal+waters_.txt,processed,0,0.2,0.1
Suitable+N%2FP+molar+ratios+for+wastewater_.txt,processed,1,0.9,0.1
Inhibition+of+laccase+activity+from+Trametes+versicolor+by+heavy+metals+and+organic+comp.._.txt,processed,1,0.9,1
Plastic+contamination+in+the+decapod+crustacean+Nephrops+norvegicus+%28Linnaeus%2C+1758%29_.txt,processed,0,0.2,0.1
Acute+and+chronic+toxicity+of+nitrate+to+fathead+minnows+%28Pimephales+promelas%29%2C+Ceriodaphnia+dubia%2C+and+Daphnia+magna_.txt,processed,0,0.3,0.1
Evaluation+of+Waste+Treatment+Procedures+for+Specific+Pollutant+Removal_.txt,processed,0,0.2,0.2
Optimization+of+phenol+degradation+by+Antarctic+bacterium+Rhodococcus+sp._.txt,processed,0.7777777778,0.9,0.3
Basiodiomycetes%3A+Homobasidiomycetidae_.txt,processed,1,0.8,0.9
Physiological+Characterization+of+Azo+Dye+Reduction+in+Enterococcus+faecalis_.txt,processed,1,0.8,0.3
Effects+of+Tween+20+and+Tween+80+on+the+Stability+of+Albutropin+during+Agitation_.txt,processed,0,0.2,0.1
Refractory+organic+pollutants+and+toxicity+in+pulp+and+paper+mill+wastewaters_.txt,processed,0.2222222222,0.4,0.3
Metabolism+of+diaziquone+by+NAD%28P%29H%3A%28quinone+acceptor%29+oxidoreductase+%28DT-diaphorase..._.txt,processed,0,0.2,0.1
Case+study+on+the+bioeffluent+of+petrochemical+wastewater+by+electro-Fenton+method_.txt,processed,0,0.3,0.3
Mechanism+of+degradation+of+crystal+violet+by+Pseudomonas+putida_.txt,processed,0.5555555556,0.2,0.3
Isolation+of+a+bacterial+strain+with+the+ability+to+utilize+the+sulfonated+azo+compound+4-carboxy-4%27-sulfoazobenzene+as+the+sole+source+of+carbon+and+energy_.txt,processed,1,0.9,0.4
16S+ribosomal+DNA+sequence+analysis+of+a+large+collection+of+environmental+and+clinical+unidentifiable+bacterial+isolates_.txt,processed,0.5555555556,0.9,0.1
Part+II%3A+Applications+of+Artificial+Intelligence+for+Chemical+Inference.+Aliphatic+Ketones+Diagnosed+by+Their+Low-Resolution+Mass+Spectra_.txt,processed,0,0.1,0.1
Nitrification%2C+denitrification+and+biological+phosphorus+removal+in+piggery+wastewater+using+a+sequencing+batch+reactor_.txt,processed,0.1111111111,0.2,0.1
Process+design+manual+for+phosphorus+removal_.txt,processed,0.8888888889,0.3,0.2
Characterization+of+optimal+pH%2C+temperature+and+carbon+source+utilization+of+enzyme+for+dye+biodegradation_.txt,processed,1,0.8,0.2
Decolorization+of+different+textile+dyes+by+isolated+Aspergillus+niger_.txt,processed,1,0.9,1
Uptake+and+retention+of+microplastics+by+the+shore+crab+Carcinus+maenas_.txt,processed,0.1111111111,0.3,0.1
Factors+affecting+the+food+value+of+diatom+strains+for+post-larval_.txt,processed,0,0.1,0.1
Decolorization+of+triphenylmethane+dyes+and+textile+and+dye-stuff+effluent+by+Kurthia+sp._.txt,processed,0.1111111111,0.2,0.7
Removal+of+fluoride+from+aqueous+solution+by+using+of+adsorption+onto+modified+lemna+minor%3A+adsorption+isotherm+and+kinetics+study_.txt,processed,0,0.2,0.1
Small+doses+of+methylene+blue%2C+previously+considered+safe%2C+can+precipitate+serotonin+toxicity_.txt,processed,0,0.2,0.1
Bayesian+tensor+regression_.txt,processed,0,0.1,0.1
Comparative+analysis+of+environmental+DNA+extraction+and+purification+methods+from+different+humic+acid-rich+soils_.txt,processed,0.1111111111,0.3,0.2
Color+Chemistry+and+the+environment_.txt,processed,0,0.1,0.1
Marine+debris+collects+within+the+North+Pacific+subtropical+convergence+zone_.txt,processed,0,0.1,0.1
Bone+regeneration+on+computer-designed+nano-fibrous+scaffolds_.txt,processed,0,0.1,0.1
Sequencing+batch+reactor+technology+in+Germany+-+an+overview_.txt,processed,0.1111111111,0.3,0.2
Daily+fluctuations+of+exopolymers+in+cultures+of+the+benthic+diatoms+Cylindrotheca+closterium+and+Nitzschia+sp.+%28Bacillariophyceae%29_.txt,processed,0,0.2,0.2
Biological+decolorization+of+dye+solution+containing+malachite+green+by+microalgae+Cosmarium+sp._2007.txt,processed,0.2222222222,0.8,0.2
Biodegradation+and+decolorization+of+dye+wastewater%3A+a+review_.txt,processed,0.6666666667,0.6,0.8
Removal+of+hazardous+phenols+by+microalgae+under+photoautotrophic+conditions_.txt,processed,0.1111111111,0.8,0.4
An+azoreductase%2C+aerobic+NADH-dependent+flavoprotein+discovered+from+Bacillus+sp.%3A+function.._.txt,processed,0.8888888889,0.4,0.1
A+GAC+biofilm+reactor+for+the+continuous+degradation+of+4-chlorophenol%3A+treatment+efficiency+and+microbial+analysis_.txt,processed,0.1111111111,0.2,0.2
Diatoms+from+springs+in+Okinawa_.txt,processed,0.1111111111,0.2,0.2
Comparison+of+Laccase+Induction+Techniques_.txt,processed,1,0.9,1
Single-cell+RNA+sequencing+of+Trypanosoma+brucei+from+tsetse+salivary+glands+unveils+metacyclogenesis+and+identifies+potential+transmission+blocking+antigens_.txt,processed,0,0.1,0.1
Adsorption+of+ciprofloxacin+antibiotic+using+powdered+activated+carbon+magnetized+by+iron%28III%29+oxide+magnetic+nanoparticles_.txt,processed,0.2222222222,0.3,0.2
Biodegradation+of+triphenylmethane+dye+crystal+violet+by+Cedecea+davisae_.txt,processed,1,0.8,0.3
Wastewater+Engineering_.txt,processed,0.1111111111,0.2,0.2
J.+Phys.+Chem._.txt,processed,0,0.2,0.1
Effect+of+dietary+protein+and+energy+level+on+growth+and+body+composition+of+South+African+abalone%2C+Haliotis+midae_.txt,processed,0,0.1,0.1
Biodegradation+of+azo+dyes+by+bacteria+isolated+from+textile+industry+effluents_.txt,processed,0.4444444444,0.8,0.3
The+photo-Fenton+oxidation+-+a+cheap+and+efficient+wastewater+treatment+method_.txt,processed,0.1111111111,0.2,0.1
Effects+of+genetically+modified+plants+on+microbial+communities+and+processes+in+soil_.txt,processed,0.1111111111,0.3,0.2
Bone+regeneration+on+computer-designed+nanofibrous+scaffolds_.txt,processed,0,0.1,0.1
Impact+of+carbon+source+and+COD%2FN+on+the+concurrent+operation+of+partial+denitrification+and+anammox_.txt,processed,0,0.2,0.2
Reactions+of+ferrous+and+ferric+ions+with+hydrogen+peroxide.+Part+II.+-+The+ferric+ion+reaction_.txt,processed,0,0.2,0.1
The+use+of+white-rot+fungus+Funalia+trogII+%28Malatya%29+for+the+decolourization+and+phenol+removal+from+olive+mill+wastewater_.txt,processed,0.4444444444,0.4,0.3
Mechanism+of+triphenylmethane+dye+reduction_.txt,processed,0.5555555556,0.8,0.8
Functional+study+of+rat+5-HT2A+receptors+using+antisense+oligonucleotides_.txt,processed,0,0.1,0.1
Humic+acid+degradation+in+aqueous+solution+by+the+photo-Fenton+process_.txt,processed,0,0.3,0.1
Intravenous+valproate+as+an+innovative+therapy+in+seizure+emergency+situations+including+status+epilepticus-experience+in+102+adult+patients_.txt,processed,0,0.2,0.1
Open+mass+spectrometry+search+algorithm_.txt,processed,0,0.1,0.1
Photocatalytic+degradation+of+methyl+red+by+TiO2%3A+Comparison+of+the+efficiency+of+immobilized+nanoparticles+versus+conventional+suspended+catalyst_.txt,processed,0,0.3,0.1
Separation%2C+purification+and+characterization+of+dye+degrading+enzyme+azoreductase..._.txt,processed,0.6666666667,0.8,0.2
A+review+on+alkaline+pretreatment+technology+for+bioconversion+of+lignocellulosic+biomass_.txt,processed,0,0.3,0.3
Photo-Fenton+degradation+of+azo+dyes_.txt,processed,0,0.4,0.1
Combined+treatment+with+moclobemide+and+SSRIs_.txt,processed,0,0.1,0.1
Identification+of+Amycolatopsis+orientalis_.txt,processed,0.1111111111,0.4,0.3
On+the+Experimental+Investigation+of+Gas-Liquid+Flow+in+Bubble+Columns_.txt,processed,0,0.2,0.1
Biodecolorisation+of+textile+dyes+by+a+mixed+bacterial+consortium_.txt,processed,0.2222222222,0.6,0.5
Development+of+probiotic+co+-culture+system+and+studies+on+the+production+of+therapeutically+important+compounds_.txt,processed,0,0.2,0.8
Saccharomyces+Genome+Database_.txt,processed,0,0.1,0.2
Decolorization+of+reactive+brilliant+red+K-2BP+with+the+white+rot+fungi+under+non-sterile+conditions_.txt,processed,0,0,0.1
Procyclin+gene+expression+and+loss+of+the+variant+surface+glycoprotein+during+differentiation+of+Trypanosoma+brucei_.txt,processed,0,0.1,0.1
