id,filename,status,baseline_dye_1_score,baseline_dye_2_score,baseline_dye_3_score,few_shot_dye_1_score,few_shot_dye_2_score,few_shot_dye_3_score,cot_dye_1_score,cot_dye_2_score,cot_dye_3_score
100413,Environmental+applications+of+immobilized+cells%3A+a+review_.txt,processed,0.9,0.9,1.0,0.9,0.9,0.8,0.8,0.8,0.9
100414,The+dye+maker%E2%80%99s+view_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100415,Growth+and+survival+of+juvenile+greenlip+abalone+%28Haliotis+laevigata%29+feeding+on+germlings+of+the+macroalgae+Ulva+sp._.txt,processed,0.1,0.1,0.8,0.2,0.2,0.2,0.1,0.1,0.1
100416,Decolorization+and+COD+reduction+efficiency+of+magnesium+over+iron+based+salt+for+the+treatment+of+textile+wastewater+containing+diazo+and+anthraquinone+dyes_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100417,Simultaneous+co-metabolic+decolourisation+of+azo+dye+mixtures+and+bio-electricity+generation+under+thermophillic+%2850%C2%B0C%29+and+saline+conditions+by+an+adapted+anaerobic+mixed+culture+in+microbial+fuel+cells_.txt,processed,1.0,1.0,1.0,1.0,0.9,0.9,1.0,1.0,1.0
100418,Improvement+of+three-phase+methanation+reactor+performance+for+steady-state+and+transient+operation_.txt,processed,0.1,0.2,0.7,0.2,0.3,0.2,0.2,0.1,0.2
100419,Degradation+of+azo+dyes+by+Fenton+process_.txt,processed,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0
100420,Enhancement+of+Laccase+Production+in+Trametes+pubescens_.txt,processed,1.0,0.9,1.0,0.8,0.9,0.8,0.9,0.8,0.9
100421,Electron+transfer+in+thiol-disulfide+exchange+proteins_.txt,processed,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1
100422,Propofol+in+myoclonus+status+epilepticus+in+comatose+patients+following+cardiac+resuscitation_.txt,processed,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1
100423,Copper%E2%80%93iron+bimetal+modified+PAN+fiber+complexes+as+novel+heterogeneous+Fenton+catalysts+for+degradation+of+organic+dye+under+visible+light+irradiation_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100424,Potent+serotonin+%285-HT%29%282A%29+receptor+antagonists+completely+prevent+the+development+of+hyperthermia+in+an+animal+model+of+the+5-HT+syndrome_.txt,processed,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1
100425,Insight+into+the+mechanism+of+graphene+oxide+degradation+via+the+photo-Fenton+reaction_.txt,processed,0.9,1.0,0.9,0.7,0.8,0.9,0.9,0.9,0.9
100426,Crystallization+and+morphology+of+a+bacterial+thermoplastic%3A+poly-3-hydroxybutyrate_.txt,processed,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
100427,Protein+measurement+with+the+Folin+phenol+reagent_.txt,processed,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.1
100428,Biodegradation+of+amido+black_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100429,Reductive+decolorization+of+indigo+carmine+dye+with+Bacillus+sp.+MZS10_.txt,processed,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0
100430,Biological+decolorization+of+dye+solution+containing+malachite+green+by+microalgae+Cosmarium+sp_.txt,processed,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.1
100431,Hydrodynamics+of+turbulent+slurry+bubble+column+%28%E2%85%A3%29+Modeling+and+simulation+of+bubble+column+with+vertical+pipe+bundles_.txt,processed,1.0,0.3,0.8,0.8,0.2,0.8,0.1,0.1,0.2
100432,Cloning+of+a+Duganella+sp.+gene+encoding+for+a+synthase_.txt,processed,0.9,1.0,1.0,0.9,0.9,0.9,1.0,1.0,1.0
100433,Industrial+decolourization+by+laccase+from+ligninolytic+fungi_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100434,Industrial+fed-batch+fermentation+monitoring_.txt,processed,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.1
100435,The+Study+of+Optimum+Conditions+in+Batch+Biological+Treatment+Plant_.txt,processed,0.9,1.0,1.0,0.9,0.9,0.9,0.9,0.9,1.0
100436,Microbial+decolorization+of+azo+dyes+by+Proteus+mirabilis_.txt,processed,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0
100437,Optimization+of+process+parameter+for+the+conversion+of+lactose+using+thermostable+%CE%B2+-galactosidase_.txt,processed,0.9,1.0,0.9,0.9,0.9,0.9,0.8,0.9,0.9
100438,A+review+of+the+toxicity+and+carcinogenicity+of+anthraquinone+derivatives_.txt,processed,1.0,1.0,1.0,0.4,1.0,0.9,0.3,0.8,0.7
100439,Potential+for+nitrogen+recovery+in+polycultures_.txt,processed,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.2
100440,A+method+for+assessing+the+statistical+significance+of+mass+spectrometry-based+protein+identification+using+general+scoring+schemes_.txt,processed,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1
100441,Biotransformation+using+resting+cells+of+Rhodococcus+UKMP-5M+for+phenol+degradation_.txt,processed,1.0,1.0,1.0,0.8,0.9,0.8,0.9,0.9,1.0
100442,Facile+Preparation+of+Porous+Microfiber+from+Poly-3-%28R%29-Hydroxybutyrate+and+Its+Application_.txt,processed,0.2,0.7,0.9,0.6,0.3,0.8,0.8,0.3,0.7
100443,Simple+in+situ+functionalizing+magnetite+nanoparticles+by+reactive+blue-19+and+their+application+to+the+effective+removal+of+Pb2%2B+ions+from+water+samples_.txt,processed,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.9,0.9
100444,Removal+of+COD+and+color+from+Direct+Blue+71+azo+dye+wastewater+by+Fenton%E2%80%99s+oxidation%3A+Kinetic+study_.txt,processed,1.0,1.0,1.0,0.9,0.9,1.0,1.0,1.0,1.0
100445,Likelihood%3B+an+account+of+the+statistical+concept+of+likelihood+and+its+application+to+scientific+inference_.txt,processed,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
100446,Microwave+enhanced+Fenton-like+process+for+the+treatment+of+high+concentration+pharmaceutical+wastewater_.txt,processed,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
100447,Decolorization+of+textile+dyes+by+bacterial+consortium+JW-2_.txt,processed,1.0,1.0,1.0,0.5,0.3,0.2,0.9,0.1,0.2
100448,Comprehensive+Experimental+Investigation+of+the+Hydrodynamics+of+Large-Scale%2C+3D%2C+Oscillating+Bubble+Plumes_.txt,processed,0.8,0.7,1.0,0.9,0.3,0.9,1.0,0.8,0.8
100449,Bioreductive+activation+of+a+series+of+indolequinones+by+human+DT-diaphorase%3A+struct..._.txt,processed,0.9,1.0,1.0,0.3,0.2,0.3,0.7,0.8,0.8
100450,Simulation+of+bubble+column+reactors+using+CFD+coupled+with+a+population+balance+model_.txt,processed,0.2,1.0,1.0,0.7,0.6,0.2,0.5,0.2,0.2
100451,Methylene+blue+and+serotonin+toxicity%3A+inhibition+of+monoamine+oxidase+A+%28MAO+A%29+confirms+a+theoretical+prediction._.txt,processed,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1
100452,Waste+minimization+and+cost+reduction+for+the+process+industries_.txt,processed,0.8,0.6,0.5,0.3,0.8,0.8,0.3,0.2,0.3
100453,Kinetics+of+decolourisation+and+biotransformation+of+direct+black+38+by+C.+hominis+and+P.+.._.txt,processed,0.8,0.9,1.0,0.9,0.8,0.8,0.8,0.8,0.8
100454,Growth+and+nutrient+removal+in+free+and+immobilized+planktonic+green+algae+isolated+from+pig+manure_.txt,processed,1.0,1.0,0.8,0.8,0.9,0.8,0.9,0.9,0.9
100455,Effect+of+ciprofloxacin+antibiotic+on+the+partial-nitritation+process_.txt,processed,1.0,1.0,1.0,0.7,0.8,0.8,0.7,0.9,0.9
100456,Methylene+blue+biosorption+from+aqueous+solutions+by+yellow+passion+fruit+waste_.txt,processed,1.0,1.0,1.0,0.9,0.9,0.9,1.0,1.0,1.0
100457,Effect+of+immobilized+microalgal+bead+concentrations+on+wastewater+nutrient+removal_.txt,processed,0.9,0.9,1.0,0.9,0.9,0.9,0.8,0.9,0.9
100458,Colour+Chemistry+Synthesis+Properties+and+Application+of+Organic+Dyes+and+Pigments_.txt,processed,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
100459,Recovery+of+useful+traits+from+isolates+inhabiting+an+agricultural+soil+cultivated+with+herbicide-resistant+poplars_.txt,processed,0.8,0.2,1.0,0.3,0.3,0.3,0.2,0.4,0.2
100460,Biomass+concentration+in+PACT+process_.txt,processed,1.0,1.0,1.0,0.8,0.8,0.9,0.8,0.8,0.8
100461,Decolorization+of+azo+dyes+by+mixed+bacterial+consortium_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100462,Biological+decolorization+of+the+reactive+dyes+reactive+black+5+by+a+novel+isolated+bacterial+strain+Enterobacter+sp.+EC3_.txt,processed,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0
100463,Optimization+of+integrated+chemical-biological+degradation+of+a+reactive+azo+dye+using+response+surface+methodology_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100464,Biosorption+of+textile+dyes+by+biomass+derived+from+Kluveromyces+marxianus+IMB3_.txt,processed,0.1,0.1,0.1,0.2,0.1,0.0,0.1,0.1,0.0
100465,Isolation+and+Characterization+of+Aeromonas+sp.+B-5+capable+of+decolorizing+various+dyes_.txt,processed,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0
100466,Biodegradation+of+orange+G+by+a+novel+isolated+bacterial+strain+Bacillus+megaterium+ITBHU01+using+response+surface_.txt,processed,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0
100467,Efficient+polyhydroxyalkanoates+production+from+a+waste-activated+sludge+alkaline+fermentation+liquid+by+activated+sludge+submitted+to+the+aerobic+feeding+and+discharge+process_.txt,processed,0.1,0.2,0.1,0.2,0.2,0.2,0.1,0.2,0.1
100468,Selective+carbon+sources+influence+the+end+products+of+microbial+nitrate+respiration_.txt,processed,0.2,0.8,0.3,0.2,0.4,0.3,0.2,0.2,0.1
100469,Removal+of+a+dye+from+simulated+wastewater+by+adsorption+using+treated+parthenium+biomass_.txt,processed,1.0,1.0,0.2,0.9,0.8,0.8,0.9,0.8,0.8
100470,Optimization+of+culture+conditions+for+enhanced+decolorization+of+Cibacron+red+FN-2BL+by+Schizophyllum+commune+IBL-6_.txt,processed,1.0,1.0,1.0,1.0,0.9,0.9,1.0,1.0,1.0
100471,Combination+of+Fenton+oxidation+and+composting+for+the+treatment+of+the+olive+solid+residue+and+the+olive+mile+wastewater+from+the+olive+oil+industry+in+Cyprus_.txt,processed,1.0,1.0,1.0,0.9,0.9,0.9,1.0,0.9,1.0
100472,Biodegradation+of+p-chlorophenol+by+a+microalgae+consortium_.txt,processed,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,0.9
100473,Comparison+of+ALR+and+Other+Bioreactor+Configurations+for+Phenolic+Removal_.txt,processed,1.0,1.0,1.0,0.9,0.9,0.9,1.0,1.0,1.0
100474,Effect+of+diatom+diets+on+growth+and+survival+of+the+abalone+Haliotis+discus_.txt,processed,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1
100475,Photodegradation+of+Congo+Red+by+hydrothermally+synthesized+nanocrystalline+TiO2_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100476,Color+Chemistry+-+Synthesis%2C+Properties+and+Application+of+Organic+Dyes+and+Pigment_.txt,processed,0.1,0.1,0.1,0.0,0.1,0.2,0.1,0.1,0.1
100477,Decolorization+of+naphthalene-containing+sulfonated+azo+dyes+by+Kerstersia+sp.+VKY1_.txt,processed,1.0,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.0
100478,Decolorization+of+triphenylmethane+dyes+and+textile+and+dyestuff+effluent+by+Kurthia+sp._.txt,processed,1.0,1.0,1.0,1.0,0.9,0.8,0.9,0.8,1.0
100479,Anaerobic%2Faerobic+treatment+of+coloured+textile+effluents+using+sequencing+batch+reactors_.txt,processed,1.0,1.0,1.0,0.9,0.9,0.9,1.0,1.0,1.0
100480,Isolation+of+an+aerobic+denitrifying+bacterial+strain+NS-2_.txt,processed,0.9,1.0,1.0,0.7,0.4,0.3,0.4,0.4,0.7
100481,Improvement+of+ammonium+production+from+nitrite+by+immobilizing+Chlamydomonas+reinhardtii+in+alginate+beads_.txt,processed,1.0,1.0,0.9,0.8,0.8,0.8,0.9,0.8,0.9
100482,Fe%2Fmeso-Al2O3%3A+An+efficient+photo-Fenton+catalyst+for+the+adsorptive+degradation+of+phenol_.txt,processed,0.9,1.0,1.0,0.8,0.8,0.9,0.9,0.9,1.0
100483,Application+and+development+of+luffa+calindrical+as+bio-carrier+in+wastewater+treatment_.txt,processed,1.0,1.0,1.0,0.8,0.9,0.5,0.4,0.3,0.6
100484,Optimization+of+cultural+condition+for+decolorization+of+textile+effluent_.txt,processed,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0
100485,Cultivation+of+green+algae+Chlorella+sp.+in+different+wastewaters+from+municipal+wastewater+treatment+plant_.txt,processed,0.8,1.0,0.9,0.8,0.9,0.8,0.8,0.8,0.9
100486,Structure+and+function+of+NAD%28P%29H+binding+pocket+in+azoreductases_.txt,processed,1.0,1.0,1.0,0.9,0.9,0.9,1.0,1.0,1.0
100487,Enzymatic+and+chemical+approaches+for+the+synthesis+of+racemic+and+enantio-enriched+3-aryloxy-1%2C2-propanediols_.txt,processed,0.9,1.0,1.0,0.9,0.9,0.8,0.9,1.0,1.0
100488,Optimization+of+pH+and+retention+time+on+the+removal+of+nutrients+and+heavy+metal+%28zinc%29+using+immobilized+marine+microalga+Chlorella+Marina_.txt,processed,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0
100489,Hair-coloring+product+use+and+risk+of+non-Hodgkin%E2%80%99s+lymphoma%3A+a+population-based+case-control+study+in+Connecticut_.txt,processed,0.1,0.2,0.1,0.3,0.2,0.3,0.2,0.2,0.2
100490,Assessment+upon+species+evolution+of+mixed+consortia+for+azo+dye+decolorization_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100491,Comparative+performance+of+the+BGI+and+Illumina+sequencing+technology+for+single-cell+RNA-sequencing_.txt,processed,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1
100492,Biodecolorisation+of+dye+R016+by+Irpex+lacteus_.txt,processed,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0
100493,The+removal+of+color+from+textile+wastewater+using+whole+bacterial+cells.+A+review_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9
100494,Investigating+the+removal+rate+of+acid+blue+113+from+aqueous+solution+by+canola_.txt,processed,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0
100495,Lipase+mediated+kinetic+resolution+of+%28RS%29+-1-chloro+-3-%283%2C4-difluorophenoxy%29+-2-propanol+to+enantiomerically+pure+%28S%29+-alcohol+for+the+synthesis+of+Lubeluzole+a+drug_.txt,processed,1.0,0.9,1.0,0.9,0.9,0.9,0.9,1.0,0.9
100496,Simulation+of+buoyancy+driven+bubbly+flow%3A+established+simplifications+and+open+questions_.txt,processed,0.2,0.1,0.1,0.2,0.3,0.4,0.3,0.1,0.2
100497,Mutagenicity+Assessment+of+Textile+Dyes+from+Sanganer%2C+Jaipur+%28India%29-A+case+study_.txt,processed,1.0,0.8,0.9,0.9,0.9,0.9,0.6,0.5,0.3
100498,NTP+toxicology+and+carcinogenesis+studies+of+p-nitroaniline+%28CAS+No.+100-01-6%29+in+B6C3F1+mice+%28gavage+studies%29_.txt,processed,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2
100499,Bacterial+Decolorization+of+Textile+Azo+Dye+Acid+Orange+by+Staphylococcus+hominis+RMLRT03_.txt,processed,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.9,1.0
100500,Biodecolorization+of+textile+azo+dye+using+Bacillus+sp.+strain+CH12+isolated+from+alkaline+lake..._.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100501,Transformation+of+Cu+%28nanoparticles%29+during+sewage+sludge+incineration+studied+by+bulk-+and+micro-XAS_.txt,processed,0.8,0.8,1.0,0.5,0.4,0.5,0.3,0.5,0.4
100502,The+mechanisms+involved+in+the+long-lasting+neuroprotective+effect+of+fluoxetine+against+MDMA-induced+degeneration+of+5-HT+nerve+endings+in+rat+brain_.txt,processed,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.2
100503,Biological+decolorization+of+dye+solution+containing+malachite+green+by+Pandoraea+pulmonicola+YC32+using+a+batch+and+continuous+system_.txt,processed,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0
100504,Accurate+mass+measurements+for+the+confirmation+of+Sudan+azo-dyes+in+hot+chilli+products+by+capillary+liquid+chromatography-electrospray+tandem+quadrupole+orthogonal-acceleration+time+of+flight+mass+s_.txt,processed,1.0,1.0,1.0,0.9,0.9,1.0,0.8,0.9,0.9
100505,Wastewater+nutrient+removal+with+microalgae+immobilized+in+carrageenan_.txt,processed,0.8,1.0,0.9,0.9,0.9,0.8,0.9,0.9,0.8
100506,Adsorption+and+release+properties+of+growth+factors+from+biodegradable+implants_.txt,processed,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1
100507,Effects+of+hydraulic+retention+time+%28HRT%29+on+denitrification_.txt,processed,0.9,1.0,1.0,0.6,0.8,0.6,0.3,0.8,0.8
100508,Tailor-made+biocatalysts+based+on+scarcely+studied+acidic+horseradish+peroxidase+for+biodegradation+of+reactive+dyes_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100509,Degradation+of+Phenolic+Compounds+in+Bioreactors_.txt,processed,1.0,1.0,1.0,0.8,0.8,0.9,0.9,0.9,0.9
100510,Colour+in+textile+effluents+%E2%80%93+sources%2C+measurement%2C+discharge+consents+and+simulation%3A+a+review_.txt,processed,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0
100511,Enhancing+denitrification+using+a+carbon+supplement+generated+from+the+wet+oxidation+of+waste+activated+sludge_.txt,processed,0.9,0.7,1.0,0.7,0.4,0.3,0.8,0.3,0.5
100512,Effect+of+food+azo+dyes+tartrazine+and+carmoisine+on+biochemical+parameters+related+to+renal%2C+hepatic+function+and+oxidative+stress+biomarkers+in+young+male+rats_.txt,processed,0.8,1.0,1.0,0.8,0.3,0.4,0.3,0.4,0.2
100513,Intracellular+Enzymes+in+Decolorization+of+Distillery+Effluent_.txt,processed,1.0,1.0,1.0,1.0,0.9,0.9,0.9,1.0,1.0
100514,Taxonomy+of+denitrifying+bacteria+in+soddy+podzolic+soil_.txt,processed,0.1,0.1,0.1,0.3,0.3,0.3,0.5,0.2,0.2
100515,The+Marine+Benthic+Diatoms+in+China+vol.+2_.txt,processed,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1
100516,Microaerophilic-aerobic+sequential+decolourization%2Fbiodegradation+of+textile+azo+dyes+by+a+facultative+Klebsiella+sp.+strain+VN-31_.txt,processed,1.0,1.0,1.0,1.0,0.9,0.9,1.0,1.0,1.0
100517,Mass+Spectrometry+of+Organic+Compounds_.txt,processed,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1
100518,Decolorization+and+degradation+of+reactive+dyes+and+dye+wastewater+by+a+developed+bacterial+consortium_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100519,Comparison+of+nitrogen+removal+and+microbial+properties+in+solid-phase+denitrification+systems+for+water+purification+with+various+pretreated+lignocellulosic+carriers_.txt,processed,1.0,1.0,0.9,0.4,0.4,0.4,0.2,0.2,0.2
100520,Correction+of+hydrogen+peroxide+interference+on+standard+COD+test_.txt,processed,0.8,0.9,1.0,0.8,0.9,1.0,0.8,0.9,0.8
100521,Assessment+upon+azo+dye+decolorization+and+bioelectricity+generation+by+Proteus+hauseri_.txt,processed,1.0,1.0,1.0,0.9,0.9,0.9,1.0,1.0,1.0
100522,Effect+of+organic+matter+on+the+performance+of+granular+anammox+process_.txt,processed,1.0,0.8,1.0,0.7,0.8,0.8,0.8,0.8,0.4
100523,Brain-derived+fibroblast+growth+factor%3A+a+study+of+its+inactivation_.txt,processed,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1
100524,Continuous-Flow+Tubular+Crystallization+in+Slugs+Spontaneously+Induced+by+Hydrodynamics_.txt,processed,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1
100525,Changes+in+microbial+communities+of+a+passive+coal+mine+drainage+bioremediation+system_.txt,processed,0.8,1.0,0.9,0.8,0.8,0.8,0.7,0.7,0.9
100526,Biodegradation+of+crystal+violet+by+Shewanella+species_.txt,processed,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0
100527,Adsorption+of+reactive+dyes+from+aqueous+solutions+by+tannery+sludge+developed+activated+carbon_.txt,processed,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1
100528,Alternative+of+solutions+for+the+bio-denitrification+of+landfill+leachates+using+pine+bark+and+compost_.txt,processed,0.9,1.0,0.3,0.5,0.2,0.2,0.3,0.4,0.4
100529,Oxidation+of+various+reactive+dyes+with+in+situ+electro-generated+active+chlorine+for+textile+dyeing+industry+wastewater+treatment_.txt,processed,1.0,1.0,1.0,0.9,0.9,0.9,1.0,0.9,1.0
100530,In+vitro+and+human+pharmacoscintigraphic+evaluation+of+an+oral+5-ASA+delivery+system+for+colonic+release_.txt,processed,0.7,1.0,0.3,0.2,0.2,0.2,0.2,0.1,0.1
100531,Bioremediation+of+textile+azo+dyes+by+aerobic+bacterial+consortium_.txt,processed,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0
100532,Microbial+biotechnology+for+the+decolorization+and+mineralization+of+organic+compounds+of+textile+wastewater+by+single+and+mixed+microbial+consortium+isolated+from+effluent+treatment+plant+of+African+textiles+industry+Kano%2C+Nigeria_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100533,Pharmacology+and+pharmacokinetics+of+fosphenytoin_.txt,processed,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1
100534,Occupational+exposure+to+azo+dyes+and+risk+of+bladder+cancer_.txt,processed,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.7,0.5
100535,Ind.+and+Eng.+Chem.%2C+Anal.+Ed.%2C+16%2C+357+%281943%29_.txt,processed,0.3,0.2,0.5,0.2,0.2,0.4,0.1,0.2,0.1
100536,EEG+findings+in+steroid-responsive+encephalopathy+associated+with+autoimmune+thyroiditis_.txt,processed,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.1
100537,Control+and+regulation+of+gene+expression%3A+quantitative+analysis+of+the+expression+of+phosphoglycerate+kinase+in+bloodstream+form+Trypanosoma+brucei_.txt,processed,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1
100538,Decolorization+of+triphenylmethane+and+azo+dyes+by+Citrobacter+sp..._.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100539,Organic+contaminants+removal+by+the+technique+of+pulsed+high-voltage+discharge+in+water_.txt,processed,1.0,0.9,1.0,0.9,0.9,1.0,1.0,1.0,0.9
100540,Textile+Organic+Dyes.+Characteristics%2C+Polluting+Effects+and+Separation%2FElimination+Procedures+from+Industrial+Effluents_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0
100541,Enzymatic+reduction+of+azo+dyes+by+Proteus+vulgaris+from+rats_.txt,processed,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0
100542,Cloning+of+genes+coding+for+L-sorbose+and+L-sorbosone+dehydrogenases_.txt,processed,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
100543,Biochemical+characterization+of+a+novel+azo+reductase+named+BVU5+from+the+bacterial+flora+D.._.txt,processed,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0
100544,Decolorization+of+dye+by+wood+rotting+basidiomycete+fungi_.txt,processed,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0
100545,Expression+and+characteristics+of+the+gene+encoding+azoreductase+from+Rhodobacter+sphaeroides+AS1.1737_.txt,processed,1.0,1.0,1.0,0.9,0.9,0.9,0.9,1.0,0.9
100546,Ambulatory+surgery+and+malignant+hyperthermia_.txt,processed,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1
100547,Removal+of+humic+acid+fraction+by+Rhizopus+arrhizus%3A+uptake+and+kinetic+studies_.txt,processed,1.0,1.0,1.0,0.9,0.9,0.9,1.0,1.0,0.9
100548,Denitrification+performance+and+microbial+diversity+in+a+packed-bed+bioreactor+using+biodegradable+polymer_.txt,processed,1.0,1.0,1.0,0.7,0.8,0.3,0.3,0.2,0.3
100549,Alteration+in+DNA+cross-linking+and+sequence+selectivity+of+a+series+of+aziridinylbenzoquinones+after+enzymatic+reduction+by+DT-diaphorase_.txt,processed,1.0,1.0,1.0,0.2,0.2,0.2,0.1,0.3,0.1
100550,Bacteria+production+of+biodegradable+plastics+polyhydroxyalkanoates_.txt,processed,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.3,0.1
100551,Nicotinamide+adenine+dinucleotide+%28phosphate%29%3A+quinone+oxidoreductase+%28DT-diaphorase..._.txt,processed,0.3,0.8,0.2,0.2,0.2,0.4,0.6,0.5,0.3
100552,Electricity+generation+directly+using+human+feces+wastewater+for+life+support+system_.txt,processed,1.0,1.0,1.0,0.4,0.6,0.7,0.5,0.8,0.7
100553,Purification+and+characterization+of+an+oxygen+insensitive+azoreductase+from+Pseudomonas+.._.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100554,Survey+of+the+important+abalone+species+in+the+world_.txt,processed,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1
100555,Performance+of+a+newly+isolated+salt-tolerant+yeast+strain+Sterigmatomyces+halophilus+SSA-1575+for+azo+dye+decolorization+and+detoxification_.txt,processed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100556,Elements+and+innovations+in+the+cultivation+of+red+abalone+Haliotis+rufescens_.txt,processed,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1
100557,A+semiological+classification+of+status+epilepticus_.txt,processed,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1
100558,Decolorization+of+azo+dye+R016+in+different+reactors+by+immobilized+Irpex+lacteus_.txt,processed,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0
100559,Personal+use+of+hair+dye+and+the+risk+of+certain+subtypes+of+non-Hodgkin+lymphoma_.txt,processed,0.1,0.1,0.2,0.3,0.3,0.3,0.4,0.3,0.5
100560,Removal+of+lead+from+aqueous+solution+by+activated+carbon+prepared+from+Enteromorpha+prolifera+by+zinc+chloride+activation_.txt,processed,1.0,1.0,1.0,1.0,0.3,0.8,0.3,0.1,0.1
100561,Visualization+of+detyrosination+along+single+microtubules+reveals+novel+mechanisms+of+assembly+during+cytoskeletal+duplication+in+trypanosomes_.txt,processed,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
100562,Cancer+statistics+review+1973-88_.txt,processed,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
