id,filename,baseline_newexpt_1_score,baseline_newexpt_2_score,baseline_newexpt_3_score,few_shot_newexpt_1_score,few_shot_newexpt_2_score,few_shot_newexpt_3_score,cot_newexpt_1_score,cot_newexpt_2_score,cot_newexpt_3_score
100441,Biotransformation+using+resting+cells+of+Rhodococcus+UKMP-5M+for+phenol+degradation_.txt,10,10,10,9,9,10,10,10,10
100442,Facile+Preparation+of+Porous+Microfiber+from+Poly-3-%28R%29-Hydroxybutyrate+and+Its+Application_.txt,10,10,10,9,9,9,10,10,10
100443,Simple+in+situ+functionalizing+magnetite+nanoparticles+by+reactive+blue-19+and+their+application+to+the+effective+removal+of+Pb2%2B+ions+from+water+samples_.txt,9,10,10,9,9,9,10,9,10
100444,Removal+of+COD+and+color+from+Direct+Blue+71+azo+dye+wastewater+by+Fenton%E2%80%99s+oxidation%3A+Kinetic+study_.txt,10,10,10,9,9,9,10,10,10
100445,Likelihood%3B+an+account+of+the+statistical+concept+of+likelihood+and+its+application+to+scientific+inference_.txt,1,1,1,2,2,2,2,2,1
100446,Microwave+enhanced+Fenton-like+process+for+the+treatment+of+high+concentration+pharmaceutical+wastewater_.txt,10,10,10,9,9,9,10,10,10
100447,Decolorization+of+textile+dyes+by+bacterial+consortium+JW-2_.txt,10,8,2,2,9,9,8,9,6
100448,Comprehensive+Experimental+Investigation+of+the+Hydrodynamics+of+Large-Scale%2C+3D%2C+Oscillating+Bubble+Plumes_.txt,10,10,10,9,9,9,10,10,10
100449,Bioreductive+activation+of+a+series+of+indolequinones+by+human+DT-diaphorase%3A+struct..._.txt,1,1,1,2,2,2,2,3,2
100450,Simulation+of+bubble+column+reactors+using+CFD+coupled+with+a+population+balance+model_.txt,10,10,9,9,8,9,3,6,8
100451,Methylene+blue+and+serotonin+toxicity%3A+inhibition+of+monoamine+oxidase+A+%28MAO+A%29+confirms+a+theoretical+prediction._.txt,1,1,1,6,2,3,8,6,5
100452,Waste+minimization+and+cost+reduction+for+the+process+industries_.txt,1,2,1,2,2,2,2,2,2
100453,Kinetics+of+decolourisation+and+biotransformation+of+direct+black+38+by+C.+hominis+and+P.+.._.txt,1,1,1,2,2,2,2,2,2
100454,Growth+and+nutrient+removal+in+free+and+immobilized+planktonic+green+algae+isolated+from+pig+manure_.txt,1,2,3,2,2,7,8,9,8
100455,Effect+of+ciprofloxacin+antibiotic+on+the+partial-nitritation+process_.txt,10,10,10,9,9,9,10,10,10
100456,Methylene+blue+biosorption+from+aqueous+solutions+by+yellow+passion+fruit+waste_.txt,10,10,10,9,9,9,10,9,10
100457,Effect+of+immobilized+microalgal+bead+concentrations+on+wastewater+nutrient+removal_.txt,1,2,2,3,5,3,8,8,6
100458,Colour+Chemistry+Synthesis+Properties+and+Application+of+Organic+Dyes+and+Pigments_.txt,1,1,1,2,1,1,1,1,1
100459,Recovery+of+useful+traits+from+isolates+inhabiting+an+agricultural+soil+cultivated+with+herbicide-resistant+poplars_.txt,10,10,10,9,9,9,9,9,9
100460,Biomass+concentration+in+PACT+process_.txt,10,10,10,9,9,9,9,8,9
100461,Decolorization+of+azo+dyes+by+mixed+bacterial+consortium_.txt,10,10,10,10,9,9,9,10,9
100462,Biological+decolorization+of+the+reactive+dyes+reactive+black+5+by+a+novel+isolated+bacterial+strain+Enterobacter+sp.+EC3_.txt,10,10,10,9,9,9,10,9,10
100463,Optimization+of+integrated+chemical-biological+degradation+of+a+reactive+azo+dye+using+response+surface+methodology_.txt,10,10,10,9,9,9,10,10,10
100464,Biosorption+of+textile+dyes+by+biomass+derived+from+Kluveromyces+marxianus+IMB3_.txt,1,1,1,2,1,1,1,1,1
100465,Isolation+and+Characterization+of+Aeromonas+sp.+B-5+capable+of+decolorizing+various+dyes_.txt,10,10,10,9,9,9,9,10,10
100466,Biodegradation+of+orange+G+by+a+novel+isolated+bacterial+strain+Bacillus+megaterium+ITBHU01+using+response+surface_.txt,10,10,10,9,9,9,10,10,10
100467,Efficient+polyhydroxyalkanoates+production+from+a+waste-activated+sludge+alkaline+fermentation+liquid+by+activated+sludge+submitted+to+the+aerobic+feeding+and+discharge+process_.txt,1,1,1,2,2,2,9,9,8
100468,Selective+carbon+sources+influence+the+end+products+of+microbial+nitrate+respiration_.txt,10,10,10,9,9,9,10,10,10
100469,Removal+of+a+dye+from+simulated+wastewater+by+adsorption+using+treated+parthenium+biomass_.txt,1,1,1,2,2,2,3,1,1
100470,Optimization+of+culture+conditions+for+enhanced+decolorization+of+Cibacron+red+FN-2BL+by+Schizophyllum+commune+IBL-6_.txt,10,10,10,9,9,9,10,10,10
100471,Combination+of+Fenton+oxidation+and+composting+for+the+treatment+of+the+olive+solid+residue+and+the+olive+mile+wastewater+from+the+olive+oil+industry+in+Cyprus_.txt,1,1,1,2,2,2,2,3,1
100472,Biodegradation+of+p-chlorophenol+by+a+microalgae+consortium_.txt,1,1,1,2,2,2,3,3,4
100473,Comparison+of+ALR+and+Other+Bioreactor+Configurations+for+Phenolic+Removal_.txt,10,10,9,9,10,10,10,10,10
100474,Effect+of+diatom+diets+on+growth+and+survival+of+the+abalone+Haliotis+discus_.txt,10,10,10,9,9,9,9,9,9
100475,Photodegradation+of+Congo+Red+by+hydrothermally+synthesized+nanocrystalline+TiO2_.txt,10,10,10,9,9,9,10,10,10
100476,Color+Chemistry+-+Synthesis%2C+Properties+and+Application+of+Organic+Dyes+and+Pigment_.txt,1,1,1,2,1,2,7,1,1
100477,Decolorization+of+naphthalene-containing+sulfonated+azo+dyes+by+Kerstersia+sp.+VKY1_.txt,10,10,10,9,9,10,10,10,9
100478,Decolorization+of+triphenylmethane+dyes+and+textile+and+dyestuff+effluent+by+Kurthia+sp._.txt,10,10,8,10,9,9,10,10,9
100479,Anaerobic%2Faerobic+treatment+of+coloured+textile+effluents+using+sequencing+batch+reactors_.txt,9,10,9,8,8,9,10,9,9
100480,Isolation+of+an+aerobic+denitrifying+bacterial+strain+NS-2_.txt,10,10,10,9,9,9,10,10,10
100481,Improvement+of+ammonium+production+from+nitrite+by+immobilizing+Chlamydomonas+reinhardtii+in+alginate+beads_.txt,5,8,4,2,8,5,8,8,9
100482,Fe%2Fmeso-Al2O3%3A+An+efficient+photo-Fenton+catalyst+for+the+adsorptive+degradation+of+phenol_.txt,10,10,10,9,9,9,9,10,10
100483,Application+and+development+of+luffa+calindrical+as+bio-carrier+in+wastewater+treatment_.txt,10,10,10,9,9,9,9,10,10
100484,Optimization+of+cultural+condition+for+decolorization+of+textile+effluent_.txt,10,10,10,9,9,9,9,10,10
100485,Cultivation+of+green+algae+Chlorella+sp.+in+different+wastewaters+from+municipal+wastewater+treatment+plant_.txt,9,10,10,9,9,9,10,10,10
100486,Structure+and+function+of+NAD%28P%29H+binding+pocket+in+azoreductases_.txt,10,10,10,9,9,9,10,10,9
100487,Enzymatic+and+chemical+approaches+for+the+synthesis+of+racemic+and+enantio-enriched+3-aryloxy-1%2C2-propanediols_.txt,10,10,10,10,9,10,10,10,10
100488,Optimization+of+pH+and+retention+time+on+the+removal+of+nutrients+and+heavy+metal+%28zinc%29+using+immobilized+marine+microalga+Chlorella+Marina_.txt,10,10,10,9,9,9,10,9,10
100489,Hair-coloring+product+use+and+risk+of+non-Hodgkin%E2%80%99s+lymphoma%3A+a+population-based+case-control+study+in+Connecticut_.txt,1,1,1,2,2,2,2,2,2
100490,Assessment+upon+species+evolution+of+mixed+consortia+for+azo+dye+decolorization_.txt,10,10,10,9,9,9,10,10,10
100491,Comparative+performance+of+the+BGI+and+Illumina+sequencing+technology+for+single-cell+RNA-sequencing_.txt,10,10,10,9,9,9,10,9,9
100492,Biodecolorisation+of+dye+R016+by+Irpex+lacteus_.txt,4,1,4,2,2,2,2,4,4
100493,The+removal+of+color+from+textile+wastewater+using+whole+bacterial+cells.+A+review_.txt,10,9,10,9,9,9,10,9,10
100494,Investigating+the+removal+rate+of+acid+blue+113+from+aqueous+solution+by+canola_.txt,10,10,10,9,9,9,10,10,10
100495,Lipase+mediated+kinetic+resolution+of+%28RS%29+-1-chloro+-3-%283%2C4-difluorophenoxy%29+-2-propanol+to+enantiomerically+pure+%28S%29+-alcohol+for+the+synthesis+of+Lubeluzole+a+drug_.txt,9,10,8,10,10,10,10,10,10
100496,Simulation+of+buoyancy+driven+bubbly+flow%3A+established+simplifications+and+open+questions_.txt,10,8,10,2,8,6,2,3,4
100497,Mutagenicity+Assessment+of+Textile+Dyes+from+Sanganer%2C+Jaipur+%28India%29-A+case+study_.txt,10,10,10,9,9,9,10,10,10
100498,NTP+toxicology+and+carcinogenesis+studies+of+p-nitroaniline+%28CAS+No.+100-01-6%29+in+B6C3F1+mice+%28gavage+studies%29_.txt,10,10,10,10,10,9,10,10,10
100499,Bacterial+Decolorization+of+Textile+Azo+Dye+Acid+Orange+by+Staphylococcus+hominis+RMLRT03_.txt,1,1,1,2,2,2,2,2,2
100500,Biodecolorization+of+textile+azo+dye+using+Bacillus+sp.+strain+CH12+isolated+from+alkaline+lake..._.txt,10,10,10,9,9,9,10,10,10
100501,Transformation+of+Cu+%28nanoparticles%29+during+sewage+sludge+incineration+studied+by+bulk-+and+micro-XAS_.txt,10,10,10,9,9,9,10,10,10
100502,The+mechanisms+involved+in+the+long-lasting+neuroprotective+effect+of+fluoxetine+against+MDMA-induced+degeneration+of+5-HT+nerve+endings+in+rat+brain_.txt,10,9,10,9,9,9,10,10,10
100503,Biological+decolorization+of+dye+solution+containing+malachite+green+by+Pandoraea+pulmonicola+YC32+using+a+batch+and+continuous+system_.txt,10,10,10,9,10,9,10,10,10
100504,Accurate+mass+measurements+for+the+confirmation+of+Sudan+azo-dyes+in+hot+chilli+products+by+capillary+liquid+chromatography-electrospray+tandem+quadrupole+orthogonal-acceleration+time+of+flight+mass+s_.txt,10,10,10,9,9,9,10,10,10
100505,Wastewater+nutrient+removal+with+microalgae+immobilized+in+carrageenan_.txt,3,5,2,2,8,2,10,8,7
100506,Adsorption+and+release+properties+of+growth+factors+from+biodegradable+implants_.txt,1,1,1,2,2,2,2,3,2
100507,Effects+of+hydraulic+retention+time+%28HRT%29+on+denitrification_.txt,10,10,10,9,9,9,10,9,10
100508,Tailor-made+biocatalysts+based+on+scarcely+studied+acidic+horseradish+peroxidase+for+biodegradation+of+reactive+dyes_.txt,1,1,1,2,2,2,1,1,1
100509,Degradation+of+Phenolic+Compounds+in+Bioreactors_.txt,10,10,10,9,9,9,9,10,10
100510,Colour+in+textile+effluents+%E2%80%93+sources%2C+measurement%2C+discharge+consents+and+simulation%3A+a+review_.txt,2,1,1,2,2,2,2,2,1
100511,Enhancing+denitrification+using+a+carbon+supplement+generated+from+the+wet+oxidation+of+waste+activated+sludge_.txt,10,10,10,9,10,9,9,10,10
100512,Effect+of+food+azo+dyes+tartrazine+and+carmoisine+on+biochemical+parameters+related+to+renal%2C+hepatic+function+and+oxidative+stress+biomarkers+in+young+male+rats_.txt,10,10,10,9,9,9,9,10,10
100513,Intracellular+Enzymes+in+Decolorization+of+Distillery+Effluent_.txt,1,1,1,2,2,2,5,9,7
100514,Taxonomy+of+denitrifying+bacteria+in+soddy+podzolic+soil_.txt,10,9,10,9,9,9,9,8,8
100515,The+Marine+Benthic+Diatoms+in+China+vol.+2_.txt,10,10,10,9,9,9,9,9,10
100516,Microaerophilic-aerobic+sequential+decolourization%2Fbiodegradation+of+textile+azo+dyes+by+a+facultative+Klebsiella+sp.+strain+VN-31_.txt,10,10,10,9,9,9,10,10,10
100517,Mass+Spectrometry+of+Organic+Compounds_.txt,1,1,1,2,2,2,2,2,3
100518,Decolorization+and+degradation+of+reactive+dyes+and+dye+wastewater+by+a+developed+bacterial+consortium_.txt,10,10,10,9,10,9,10,10,10
100519,Comparison+of+nitrogen+removal+and+microbial+properties+in+solid-phase+denitrification+systems+for+water+purification+with+various+pretreated+lignocellulosic+carriers_.txt,10,10,10,9,9,9,9,10,10
100520,Correction+of+hydrogen+peroxide+interference+on+standard+COD+test_.txt,9,10,9,9,9,9,9,8,10
100521,Assessment+upon+azo+dye+decolorization+and+bioelectricity+generation+by+Proteus+hauseri_.txt,1,1,1,2,2,2,1,1,1
100522,Effect+of+organic+matter+on+the+performance+of+granular+anammox+process_.txt,10,10,10,9,9,9,10,10,10
100523,Brain-derived+fibroblast+growth+factor%3A+a+study+of+its+inactivation_.txt,10,10,10,9,9,9,10,10,10
100524,Continuous-Flow+Tubular+Crystallization+in+Slugs+Spontaneously+Induced+by+Hydrodynamics_.txt,10,10,10,9,9,9,10,10,10
100525,Changes+in+microbial+communities+of+a+passive+coal+mine+drainage+bioremediation+system_.txt,10,10,10,9,9,9,10,10,10
100526,Biodegradation+of+crystal+violet+by+Shewanella+species_.txt,10,10,10,9,9,9,10,10,10
100527,Adsorption+of+reactive+dyes+from+aqueous+solutions+by+tannery+sludge+developed+activated+carbon_.txt,1,1,1,1,1,2,1,2,1
100528,Alternative+of+solutions+for+the+bio-denitrification+of+landfill+leachates+using+pine+bark+and+compost_.txt,10,10,10,9,9,9,9,10,8
100529,Oxidation+of+various+reactive+dyes+with+in+situ+electro-generated+active+chlorine+for+textile+dyeing+industry+wastewater+treatment_.txt,9,9,10,9,9,9,9,10,9
100530,In+vitro+and+human+pharmacoscintigraphic+evaluation+of+an+oral+5-ASA+delivery+system+for+colonic+release_.txt,10,10,10,9,9,9,10,10,10
100531,Bioremediation+of+textile+azo+dyes+by+aerobic+bacterial+consortium_.txt,10,10,10,9,9,9,10,10,10
100532,Microbial+biotechnology+for+the+decolorization+and+mineralization+of+organic+compounds+of+textile+wastewater+by+single+and+mixed+microbial+consortium+isolated+from+effluent+treatment+plant+of+African+textiles+industry+Kano%2C+Nigeria_.txt,10,10,10,9,9,9,10,10,10
100533,Pharmacology+and+pharmacokinetics+of+fosphenytoin_.txt,1,3,1,2,3,2,7,7,7
100534,Occupational+exposure+to+azo+dyes+and+risk+of+bladder+cancer_.txt,1,1,1,2,2,2,1,1,1
100535,Ind.+and+Eng.+Chem.%2C+Anal.+Ed.%2C+16%2C+357+%281943%29_.txt,10,10,10,9,9,9,10,9,10
100536,EEG+findings+in+steroid-responsive+encephalopathy+associated+with+autoimmune+thyroiditis_.txt,10,10,8,9,9,9,8,8,7
100537,Control+and+regulation+of+gene+expression%3A+quantitative+analysis+of+the+expression+of+phosphoglycerate+kinase+in+bloodstream+form+Trypanosoma+brucei_.txt,1,1,1,2,2,2,1,1,1
100538,Decolorization+of+triphenylmethane+and+azo+dyes+by+Citrobacter+sp..._.txt,10,10,10,9,9,9,10,10,10
100539,Organic+contaminants+removal+by+the+technique+of+pulsed+high-voltage+discharge+in+water_.txt,1,1,1,2,2,2,4,2,2
100540,Textile+Organic+Dyes.+Characteristics%2C+Polluting+Effects+and+Separation%2FElimination+Procedures+from+Industrial+Effluents_.txt,1,1,1,2,2,2,4,3,2
100541,Enzymatic+reduction+of+azo+dyes+by+Proteus+vulgaris+from+rats_.txt,9,10,10,9,9,9,9,9,10
100542,Cloning+of+genes+coding+for+L-sorbose+and+L-sorbosone+dehydrogenases_.txt,1,1,1,2,2,2,1,3,2
100543,Biochemical+characterization+of+a+novel+azo+reductase+named+BVU5+from+the+bacterial+flora+D.._.txt,10,10,10,9,9,9,10,10,10
100544,Decolorization+of+dye+by+wood+rotting+basidiomycete+fungi_.txt,10,10,10,9,9,9,9,10,10
100545,Expression+and+characteristics+of+the+gene+encoding+azoreductase+from+Rhodobacter+sphaeroides+AS1.1737_.txt,10,10,10,9,9,9,9,10,10
100546,Ambulatory+surgery+and+malignant+hyperthermia_.txt,1,1,1,2,2,2,2,2,2
100547,Removal+of+humic+acid+fraction+by+Rhizopus+arrhizus%3A+uptake+and+kinetic+studies_.txt,10,10,10,9,9,9,9,9,10
100548,Denitrification+performance+and+microbial+diversity+in+a+packed-bed+bioreactor+using+biodegradable+polymer_.txt,10,10,10,9,9,9,9,10,10
100549,Alteration+in+DNA+cross-linking+and+sequence+selectivity+of+a+series+of+aziridinylbenzoquinones+after+enzymatic+reduction+by+DT-diaphorase_.txt,10,10,10,9,9,9,10,10,10
100550,Bacteria+production+of+biodegradable+plastics+polyhydroxyalkanoates_.txt,1,1,1,2,2,2,2,1,2
100551,Nicotinamide+adenine+dinucleotide+%28phosphate%29%3A+quinone+oxidoreductase+%28DT-diaphorase..._.txt,10,10,10,9,9,9,10,10,9
100552,Electricity+generation+directly+using+human+feces+wastewater+for+life+support+system_.txt,10,10,10,9,9,9,10,10,10
100553,Purification+and+characterization+of+an+oxygen+insensitive+azoreductase+from+Pseudomonas+.._.txt,10,10,10,9,9,9,10,10,10
100554,Survey+of+the+important+abalone+species+in+the+world_.txt,1,1,1,0,1,1,1,1,5
100555,Performance+of+a+newly+isolated+salt-tolerant+yeast+strain+Sterigmatomyces+halophilus+SSA-1575+for+azo+dye+decolorization+and+detoxification_.txt,10,10,10,9,10,9,10,10,10
100556,Elements+and+innovations+in+the+cultivation+of+red+abalone+Haliotis+rufescens_.txt,8,8,6,9,8,8,8,8,8
100557,A+semiological+classification+of+status+epilepticus_.txt,1,1,1,2,2,2,3,2,1
100558,Decolorization+of+azo+dye+R016+in+different+reactors+by+immobilized+Irpex+lacteus_.txt,10,10,10,9,9,9,10,10,10
100559,Personal+use+of+hair+dye+and+the+risk+of+certain+subtypes+of+non-Hodgkin+lymphoma_.txt,1,2,1,2,2,2,2,2,2
100560,Removal+of+lead+from+aqueous+solution+by+activated+carbon+prepared+from+Enteromorpha+prolifera+by+zinc+chloride+activation_.txt,10,10,10,10,9,10,10,10,10
100561,Visualization+of+detyrosination+along+single+microtubules+reveals+novel+mechanisms+of+assembly+during+cytoskeletal+duplication+in+trypanosomes_.txt,3,8,6,2,3,5,4,5,4
100562,Cancer+statistics+review+1973-88_.txt,1,1,1,2,2,2,1,1,1
100563,Catalytic+behavior+and+detoxifying+ability+of+an+a+typical+homotrimericlaccase+from+the+thermophilic+strain+Scytalidium+thermophilum+on+selected+azo+and+triarylmethane+dyes_.txt,10,10,10,9,9,9,9,10,9
100564,Three-dimensional+multiple-wavelength+fluorescence+microscopy+for+the+structural+analysis+of+biological+phenomena_.txt,10,10,10,9,9,9,10,10,9
100565,Mixed+silage+of+Elodea+and+wheat+straw+as+a+substrate+for+energy+production+in+anaerobic+digestion+plants_.txt,10,10,10,9,9,9,10,10,10
100566,A+geometric+model+for+intrinsic+residual+strain+and+phase+stability+in+high+entropy+alloys_.txt,9,9,9,9,9,9,5,9,9
100567,The+GENE-TOX+program%3A+genetic+activity+evaluation_.txt,1,1,1,2,2,2,1,2,2
100568,Kinetics+of+decolourisation+and+biotransformation+of+direct+black+38+by+C.+hominis+and..._.txt,1,1,1,2,2,2,2,3,2
100569,Enhanced+biodegradation+of+congo+red+by+using+Bacillus+sp._.txt,10,10,10,9,9,9,10,9,10
100570,Decolorization+of+simulated+textile+wastewater+in+an+anaerobic-aerobic+sequential+treatment+system_.txt,1,1,1,2,2,2,2,1,2
100571,Chlorotriazine+Reactive+Azo+Red%2C+120+Textile+Dye+Induces+Micronuclei+in+Fish_.txt,10,10,10,9,9,9,10,10,10
100572,Standard+Methods+for+the+Examination+of+Water+and+Wastewater_.txt,1,1,1,2,2,2,8,1,1
100573,Induction+of+larval+attachment+and+metamorphosis+in+the+abalone+Haliotis+diversicolor+%28Reeve%29_.txt,10,10,10,9,9,9,9,10,10
100574,Decolorization+of+azo+dyes+with+immobilized+Pseudomonas+luteola_.txt,1,1,1,2,2,1,1,1,1
100575,Polyhydroxyalkanoates%3A+Current+applications+in+the+medical+field_.txt,1,1,1,2,2,2,2,3,2
100576,Partial+least+squares+regression%3A+A+tutorial_.txt,1,1,1,2,2,3,2,2,3
100577,Biodegradation+of+bioaccessible+textile+azo+dyes+by+Phanerochaete+chrysosporium_.txt,10,10,10,9,9,9,9,9,10
100578,Challenges+of+trace+elements+in+the+Swiss+environment_.txt,10,10,10,10,9,9,10,10,10
100579,Phenoloxidases+in+Portabella+mushrooms_.txt,10,10,10,9,9,9,10,10,10
100580,Decolorization+of+anthraquinone%2C+triphenylmethane+and+azo+dyes+by+a+new+isolated+Bacillus+cereus+strain+DC11_.txt,10,10,10,9,10,9,9,10,10
100581,Design+and+development+of+functionalized+nanoparticles+for+combination+therapy+in+breast+cancer_.txt,10,10,10,10,10,10,10,10,10
100582,MEGA5%3A+Molecular+Evolutionary+Genetics+Analysis+Using+Maximum+Likelihood%2C+Evolutionary+Distance%2C+and+Maximum+Parsimony+Methods_.txt,10,10,10,3,8,9,5,7,7
100583,Decolorization+of+azo+dyes+by+fungi_.txt,10,10,10,9,9,9,9,10,10
100584,High+selectivity+sensing+of+cobalt+in+HepG2+cells+based+on+necklace+model+microenvironment-modulated+carbon+dot-improved+chemiluminescence+in+Fenton-like+system_.txt,10,10,10,9,9,9,10,10,10
100585,The+role+of+Mn-dependent+peroxidase+in+dye+decolorization+by+static+and+agitated+cultures+of+Irpex+lacteus_.txt,9,10,10,9,9,9,10,9,10
100586,Malignant+transformation+by+malachite+green_.txt,10,10,10,9,9,9,9,9,9
100587,Utilization+of+Azo+and+Triphenylmethane+dyes+as+a+sole+source+of+carbon%2C+energy+and+nitrogen+by+Bacillus+sp._.txt,10,10,10,9,9,9,10,10,10
100588,Novel+conjugated+hybrid+material+for+efficient+lead%28II%29+capturing+from+contaminated+wastewater_.txt,10,10,10,9,9,9,10,10,10
100589,Removal+of+anionic+azo+dyes+from+aqueous+solution+using+magnetic+polymer+multi-wall+carbon+nanotube+nanocomposite+as+adsorbent_.txt,10,10,10,9,9,9,10,10,10
100590,Photodegradation+of+dye+pollutant+under+UV+light+by+nano-catalyst+doped+titania+thin+films_.txt,10,10,10,9,9,9,10,9,10
100591,Nitrogen+removal+by+microalgae+via+glutamate+dehydrogenase_.txt,1,1,1,2,2,2,3,2,2
100592,Isolation+and+characterization+of+microbial+strain+AZO29+capable+of+azo+dye+decolourization_.txt,10,10,10,9,9,9,10,10,10
100593,Enzymatic+reduction+of+azo+and+indigoid+compounds..._.txt,10,10,10,9,9,9,10,10,10
100594,How+much+is+a+clean+beach+worth%3F+The+impact+of+litter+on+beach+users+in+the+Cape+Peninsula%2C+South+Africa_.txt,9,10,9,8,8,8,3,2,1
100595,Toxicity+and+metabolism+of+malachite+green_.txt,10,10,10,9,9,10,10,9,10
100596,Copper+modified+iron+oxide+as+heterogeneous+photo-Fenton+reagent+for+dye+degradation_.txt,10,10,10,9,9,9,10,10,10
100597,The+effect+of+pH+on+azo+dye+reduction+by+NADH_.txt,10,10,10,9,9,10,10,10,10
100598,Removal+of+direct+blue-106+dye+from+aqueous+solution+using+new+activated+carbons+developed+from+pomegranate+peel%3A+adsorption+equilibrium+and+kinetics_.txt,2,1,1,2,1,2,1,1,1
100599,Biodegradation+of+azo+dyes+by+anaerobic+bacteria+isolated+from+human+intestinal+microflora_.txt,10,10,10,9,9,9,10,9,9
100600,The+role+of+benthic+diatoms+in+the+early+life+stages+of+the+Japanese+abalone+Haliotis+discus+hannai_.txt,10,10,10,9,9,9,10,10,10
100601,Empirical+statistical+model+to+estimate+the+accuracy+of+peptide+identification+made+by+MS%2FMS+and+database+search_.txt,9,10,10,9,9,9,9,9,9
100602,Long-term+marine+litter+monitoring+in+the+remote+Great+Australian+Bight%2C+South+Australia_.txt,1,1,1,2,2,2,1,6,2
100603,Algal+growth+media+and+sources+of+cultures_.txt,10,10,10,9,9,9,10,9,9
100604,Impact+of+Sparger+Pore+Size+on+Shear+Rates_.txt,10,10,10,9,9,9,10,10,10
100605,Enhanced+carbon+and+nitrogen+removal+performance+of+simultaneously+anammox+and+denitrification+%28SAD%29+with+mannitol+addition+treating+saline+wastewater_.txt,10,10,10,9,9,9,9,10,9
100606,Removal+of+azo+dye+using+Fenton+and+Fenton-like+processes%3A+Evaluation+of+process+factors+by+Box-Behnken+design+and+ecotoxicity+tests_.txt,10,10,10,9,9,9,10,10,9
100607,The+three-dimensional+structure+of+NAD%28P%29H%3Aquinone+reductase%2C+a+flavoprotein+involved+in+cancer+chemoprotection+and+chemotherapy%3A+mechanism+of+the+two-electron+reduction_.txt,10,10,10,9,9,9,10,10,9
100608,Clinical+Guidelines+for+Ibogaine-Assisted+Detoxification_.txt,5,4,1,2,2,2,3,3,3
100609,Microbial+decolorization+and+degradation+of+textile+dye_.txt,10,10,10,9,9,9,10,10,10
100610,Step-feeding+organic+carbon+enhances+high-strength+nitrate+and+ammonia+removal+via+DEAMOX+process_.txt,1,1,1,2,2,2,5,3,4
100611,Biodegradation+of+azo+and+triphenylmethane+dyes+by+Amycolatopsis+orientalis_.txt,10,10,10,9,9,9,10,10,10
100612,New+safety+and+rapid+method+for+extraction+of+genomic+DNA+from+bacteria+and+yeast+strains+suitable+for+PCR+amplifications_.txt,10,10,10,9,9,9,9,9,10
100613,Economic+and+environmental+analysis+of+five+Chinese+rural+toilet+technologies+based+on+the+economic+input-output+life+cycle+assessment_.txt,10,10,10,9,9,9,10,10,10
100614,Separation%2C+purification+and+characterization+of+dye+degrading+enzyme+azoreductase+from+ba.._.txt,10,10,10,9,9,9,10,10,10
100615,The+reduction+of+azo+dyes+by+the+intestinal+microflora_.txt,1,1,1,2,2,2,2,2,3
100616,Constellations+in+a+cellular+universe_.txt,1,1,1,2,2,2,1,1,1
100617,Treatment+of+patients+with+recurrent+primary+brain+tumors+with+AZQ_.txt,10,10,10,9,9,9,10,9,8
100618,Removal+of+congo+red+by+wollastonite_.txt,9,7,9,3,3,2,4,2,3
100619,Effect+of+composition%2C+calcination+temperature+%26+time+on+the+photocatalytic+degradation+of+azo+dye+using+Ag%40TiO2+core-shell+nanoparticles+under+sunlight_.txt,10,10,10,10,9,9,10,10,10
100620,Role+of+brown-rot+fungi+in+the+bioremoval+of+azo+dyes+under+different+conditions_.txt,10,10,10,9,9,9,10,10,10
100621,Relationship+between+microbial+community+and+environmental+conditions+in+a+constructed+wetland+system+treating+greywater_.txt,1,1,1,2,2,2,1,1,2
100622,Treatment+of+refractory+status+epilepticus+with+pentobarbital%2C+propofol%2C+or+midazolam%3A+a+systematic+review_.txt,1,1,1,2,2,2,1,1,2
100623,Effect+of+some+operational+parameters+on+textile+dye+biodegradation+in+a+sequential+batch+reactor_.txt,10,10,10,9,9,9,8,8,9
100624,Comparison+of+S.+lividans+dye+degrading+capacity+against+clone+SlivAM1_.txt,10,10,10,10,10,9,10,10,10
100625,Adsorption+kinetics+and+thermodynamics+and+equilibrium+of+ibuprofen+from+aqueous+solutions+by+activated+carbon+prepared+from+Lemna+minor_.txt,10,10,10,9,9,9,10,10,10
100626,Seq-Gen%3A+an+application+for+the+Monte+Carlo+simulation+of+DNA+sequence+evolution+along+phylogenetic+trees_.txt,10,10,10,8,7,2,10,1,3
100627,Microaerophilic-aerobic+sequential+decolourization%2Fbiodegradation+of+textile+azo+dyes+by+a+novel+bacterial+consortium_.txt,10,10,10,9,9,9,10,10,10
100628,Wykorzystanie+kompostu+jako+biosorbentu+w+usuwaniu+barwnik%C3%B3w+kwasowych+ze+%C5%9Bciek%C3%B3w+przemys%C5%82u+w%C5%82%C3%B3kienniczego_.txt,10,10,10,8,9,9,10,10,10
100629,Development+of+probiotic+co-culture+system+and+studies+on+the+production+of+therapeutically+important+compounds_.txt,10,10,10,10,9,2,9,10,10
100630,Nutrition+and+growth+of+abalone_.txt,10,9,10,9,9,9,9,8,8
100631,Microbial+degradation+of+azo+dyes%3A+A+review_.txt,1,1,1,2,2,2,1,2,2
100632,Detoxification+of+2%2C4-dichlorophenol+by+the+marine+microalga+Tetraselmis+marina_.txt,10,10,10,2,2,2,2,8,7
100633,Sorption+and+desorption+studies+of+chromium+%28VI%29+from+nonviable+cyanobacterium+Nostoc+muscorum+biomass_.txt,9,10,10,9,9,9,10,9,8
