temperature,duration,pH,source_file,type_of_dye,type_of_fungi,concentration_of_dye,concentration_of_fungi,method_of_agitation,decolorization_result,additional_information,fungal_form
30°C,12 h,9,Degradation+and+decolourization+potential+of+an+ligninolytic+enzyme+producing+Aeromonas+hydrophila+for+crystal+violet+dye+and+its+phytotoxicity+evaluation_.csv,crystal violet,Rhodococcus pyridinivorans,0.6 mM,10% (v/v),shaking,62 ± 1%,Decolorization observed across a broad pH range.,whole fungi
25°C,24 h,5,Degradation+and+decolourization+potential+of+an+ligninolytic+enzyme+producing+Aeromonas+hydrophila+for+crystal+violet+dye+and+its+phytotoxicity+evaluation_.csv,crystal violet,Rhodococcus pyridinivorans,0.6 mM,10% (v/v),shaking,68 ± 1%,Effective decolorization at lower temperatures.,whole fungi
45°C,12 h,7,Degradation+and+decolourization+potential+of+an+ligninolytic+enzyme+producing+Aeromonas+hydrophila+for+crystal+violet+dye+and+its+phytotoxicity+evaluation_.csv,crystal violet,Rhodococcus pyridinivorans,0.9 mM,10% (v/v),shaking,59 ± 1%,Decolorization efficiency decreased at higher dye concentrations.,whole fungi
45°C,24 h,7,Degradation+and+decolourization+potential+of+an+ligninolytic+enzyme+producing+Aeromonas+hydrophila+for+crystal+violet+dye+and+its+phytotoxicity+evaluation_.csv,crystal violet,Rhodococcus pyridinivorans,2.4 mM,10% (v/v),shaking,8 ± 1%,Significant drop in decolorization ability at very high dye concentrations.,whole fungi
Ambient,200 days,Not specified,Decolorization+of+Azo%2C+triphenylmethane+and+anthraquinone+dyes+by+laccase+of+a+newly+isolated+Armillaria+sp.+F022_.csv,Azo,Aerobic granules,5-85 mg/L,3.4 g/L,Aeration,90% - 100%,Maintained excellent structure stability,Fungal mass
Ambient,200 days,Not specified,Decolorization+of+Azo%2C+triphenylmethane+and+anthraquinone+dyes+by+laccase+of+a+newly+isolated+Armillaria+sp.+F022_.csv,Triphenylmethane,Aerobic granules,5-85 mg/L,3.4 g/L,Aeration,100%,Maintained excellent structure stability,Fungal mass
Ambient,200 days,Not specified,Decolorization+of+Azo%2C+triphenylmethane+and+anthraquinone+dyes+by+laccase+of+a+newly+isolated+Armillaria+sp.+F022_.csv,Anthraquinone,Aerobic granules,5-85 mg/L,3.4 g/L,Aeration,50% - 80%,Partially disintegrated granules observed,Fungal mass
38°C,15 min,7.0,Enzymatic+reduction+of+azo+and+indigoid+compounds_.csv,Flame Orange,Bacillus cereus,200 μg/ml,1 U/ml,rotary shaker,Complete decolorization,UV-visible spectroscopy used for detection,whole fungi
38°C,15 min,7.0,Enzymatic+reduction+of+azo+and+indigoid+compounds_.csv,Ruby Red,Bacillus cereus,200 μg/ml,1 U/ml,rotary shaker,Complete decolorization,UV-visible spectroscopy used for detection,whole fungi
Not specified,1 h,Not specified,Enzymatic+reduction+of+azo+and+indigoid+compounds_.csv,Indigo Carmine,Bacillus cereus,Not specified,1 U/ml,Not specified,Color change from blue to yellow indicating reduction,"NADH required for reduction, oxidized back with H2O2",whole fungi
Not specified,Not specified,7.0,Enzymatic+reduction+of+azo+and+indigoid+compounds_.csv,Cibacrone Marine,Bacillus cereus,100 mg/l,Not specified,Not specified,Not specified,Enzyme activity monitored spectrophotometrically,whole fungi
23.6 ± 0.6 ºC,12 days,9.7 ± 0.2,Suitable+N%2FP+molar+ratios+for+wastewater_.csv,Ammonium Chloride,Chlorella vulgaris,63 mg L-1,,air injection,100% removal of ammonium,N:P molar ratio of 8:1,whole fungi
23.6 ± 0.6 ºC,12 days,9.5 ± 0.2,Suitable+N%2FP+molar+ratios+for+wastewater_.csv,Ammonium Chloride,Chlorella vulgaris,126 mg L-1,,air injection,100% removal of ammonium,N:P molar ratio of 16:1,whole fungi
23.6 ± 0.6 ºC,12 days,9.4 ± 0.2,Suitable+N%2FP+molar+ratios+for+wastewater_.csv,Ammonium Chloride,Chlorella vulgaris,189 mg L-1,,air injection,100% removal of ammonium,N:P molar ratio of 24:1,whole fungi
25.3 ± 0.5 ºC,12 days,9.7 ± 0.1,Suitable+N%2FP+molar+ratios+for+wastewater_.csv,NH4Cl/NaNO3,Chlorella vulgaris,31.5 mg L-1 / 50 mg L-1,,air injection,100% removal of ammonium,N:P molar ratio of 8:1,whole fungi
25.3 ± 0.5 ºC,12 days,9.5 ± 0.1,Suitable+N%2FP+molar+ratios+for+wastewater_.csv,NH4Cl/NaNO3,Chlorella vulgaris,63 mg L-1 / 100 mg L-1,,air injection,100% removal of ammonium,N:P molar ratio of 16:1,whole fungi
25.7 ± 0.5 ºC,12 days,9.7 ± 0.2,Suitable+N%2FP+molar+ratios+for+wastewater_.csv,NH4Cl/NaNO3,Chlorella vulgaris,94.5 mg L-1 / 150 mg L-1,,air injection,100% removal of ammonium,N:P molar ratio of 24:1,whole fungi
25.8 ± 0.9 ºC,12 days,9.6 ± 0.1,Suitable+N%2FP+molar+ratios+for+wastewater_.csv,Sodium Nitrate,Chlorella vulgaris,100 mg L-1,,air injection,100% removal of nitrate,N:P molar ratio of 8:1,whole fungi
26.0 ± 0.8 ºC,12 days,9.7 ± 0.1,Suitable+N%2FP+molar+ratios+for+wastewater_.csv,Sodium Nitrate,Chlorella vulgaris,200 mg L-1,,air injection,100% removal of nitrate,N:P molar ratio of 16:1,whole fungi
25.8 ± 0.6 ºC,12 days,9.6 ± 0.1,Suitable+N%2FP+molar+ratios+for+wastewater_.csv,Sodium Nitrate,Chlorella vulgaris,300 mg L-1,,air injection,100% removal of nitrate,N:P molar ratio of 24:1,whole fungi
24.7 ± 0.5 ºC,12 days,9.3 ± 0.1,Suitable+N%2FP+molar+ratios+for+wastewater_.csv,Ammonium Chloride,Pseudokirchneriella subcapitata,63 mg L-1,,air injection,100% removal of ammonium,N:P molar ratio of 8:1,whole fungi
24.7 ± 0.5 ºC,12 days,9.3 ± 0.1,Suitable+N%2FP+molar+ratios+for+wastewater_.csv,Ammonium Chloride,Pseudokirchneriella subcapitata,126 mg L-1,,air injection,100% removal of ammonium,N:P molar ratio of 16:1,whole fungi
24.7 ± 0.5 ºC,12 days,9.3 ± 0.1,Suitable+N%2FP+molar+ratios+for+wastewater_.csv,Ammonium Chloride,Pseudokirchneriella subcapitata,189 mg L-1,,air injection,100% removal of ammonium,N:P molar ratio of 24:1,whole fungi
25.7 ± 0.5 ºC,12 days,9.5 ± 0.1,Suitable+N%2FP+molar+ratios+for+wastewater_.csv,NH4Cl/NaNO3,Pseudokirchneriella subcapitata,31.5 mg L-1 / 50 mg L-1,,air injection,100% removal of ammonium,N:P molar ratio of 8:1,whole fungi
25.7 ± 0.5 ºC,12 days,9.5 ± 0.1,Suitable+N%2FP+molar+ratios+for+wastewater_.csv,NH4Cl/NaNO3,Pseudokirchneriella subcapitata,63 mg L-1 / 100 mg L-1,,air injection,100% removal of ammonium,N:P molar ratio of 16:1,whole fungi
25.7 ± 0.5 ºC,12 days,9.5 ± 0.1,Suitable+N%2FP+molar+ratios+for+wastewater_.csv,NH4Cl/NaNO3,Pseudokirchneriella subcapitata,94.5 mg L-1 / 150 mg L-1,,air injection,100% removal of ammonium,N:P molar ratio of 24:1,whole fungi
30°C,60 min,not specified,Characterization+of+the+genes+for+enzymes+involved+in+the+degradation+of+azo+dyes+by+nocardioforms_.csv,crystal violet,Amycolatopsis orientalis,10 µg/ml,not specified,not specified,complete decolorization visible within 5 min,Four main bands observed in TLC from 5-20 min,whole fungi
30°C,60 min,not specified,Characterization+of+the+genes+for+enzymes+involved+in+the+degradation+of+azo+dyes+by+nocardioforms_.csv,crystal violet,Amycolatopsis orientalis,30 µg/ml,not specified,not specified,no ability to decolorize beyond this concentration,TLC analysis showed no further decolorization,whole fungi
not specified,not specified,not specified,Characterization+of+the+genes+for+enzymes+involved+in+the+degradation+of+azo+dyes+by+nocardioforms_.csv,crystal violet,Rhodococcus erythropolis,10 µg/ml,not specified,not specified,similar to Amycolatopsis orientalis,TLC results similar to Amycolatopsis orientalis,whole fungi
not specified,not specified,not specified,Characterization+of+the+genes+for+enzymes+involved+in+the+degradation+of+azo+dyes+by+nocardioforms_.csv,crystal violet,Mycobacterium smegmatis,10 µg/ml,not specified,not specified,similar to Amycolatopsis orientalis,TLC results similar to Amycolatopsis orientalis,whole fungi
not specified,not specified,not specified,Characterization+of+the+genes+for+enzymes+involved+in+the+degradation+of+azo+dyes+by+nocardioforms_.csv,combined triphenylmethane dyes,Amycolatopsis orientalis,10 µg/ml (for each dye),not specified,not specified,effectively decolorized all tested combined dyes,Effective against amido black and janus green when combined with triphenylmethane dyes,whole fungi
30°C,4 days,6.5,Stimulation+of+ligninolytic+enzyme+production+and+the+ability+to+decolourize+poly+R-478_.csv,Acid orange 7,P. chrysosporium,50 µM,10^5 spores/ml,shaking,94.8%,Mycelial growth increased up to 54.0 mg on fourth day.,mycelium
30°C,4 days,6.5,Stimulation+of+ligninolytic+enzyme+production+and+the+ability+to+decolourize+poly+R-478_.csv,Acid orange 7,S. commune,50 µM,10^5 spores/ml,shaking,96.7%,Mycelial growth increased to 60 mg.,mycelium
30°C,4 days,6.5,Stimulation+of+ligninolytic+enzyme+production+and+the+ability+to+decolourize+poly+R-478_.csv,Acid orange 7,L. eximia,50 µM,10^5 spores/ml,shaking,95.5%,Mycelial growth observed to be 56.0 mg on fourth day.,mycelium
30°C,4 days,6.5,Stimulation+of+ligninolytic+enzyme+production+and+the+ability+to+decolourize+poly+R-478_.csv,Methyl red,P. chrysosporium,50 µM,10^5 spores/ml,shaking,92.2%,Mycelial growth increased to 56.0 mg.,mycelium
30°C,4 days,6.5,Stimulation+of+ligninolytic+enzyme+production+and+the+ability+to+decolourize+poly+R-478_.csv,Methyl red,S. commune,50 µM,10^5 spores/ml,shaking,98.5%,Mycelial growth observed to be 62.0 mg.,mycelium
30°C,4 days,6.5,Stimulation+of+ligninolytic+enzyme+production+and+the+ability+to+decolourize+poly+R-478_.csv,Methyl red,L. eximia,50 µM,10^5 spores/ml,shaking,96.0%,Mycelial growth observed to be 58 mg.,mycelium
30°C,4 days,6.5,Stimulation+of+ligninolytic+enzyme+production+and+the+ability+to+decolourize+poly+R-478_.csv,Evans blue,P. chrysosporium,50 µM,10^5 spores/ml,shaking,90.2%,Mycelial growth increased to 53.0 mg.,mycelium
30°C,4 days,6.5,Stimulation+of+ligninolytic+enzyme+production+and+the+ability+to+decolourize+poly+R-478_.csv,Evans blue,S. commune,50 µM,10^5 spores/ml,shaking,97.4%,Mycelial growth observed to be 58 mg.,mycelium
30°C,4 days,6.5,Stimulation+of+ligninolytic+enzyme+production+and+the+ability+to+decolourize+poly+R-478_.csv,Evans blue,L. eximia,50 µM,10^5 spores/ml,shaking,95.5%,Mycelial growth observed to be 54 mg.,mycelium
,,6.5-8.3,Changes+in+microbial+communities+of+a+passive+coal+mine+drainage+bioremediation+system_.csv,,,,,,,Sediment samples were collected from 5 ponds and wetlands at a passive coal mine drainage bioremediation site.,
<20 °C,varied by sampling years,,Changes+in+microbial+communities+of+a+passive+coal+mine+drainage+bioremediation+system_.csv,,,,,,,"Environmental data like temperature, pH, dissolved oxygen, turbidity and conductivity were collected from previous surveys for the sites.",
10-18 °C,varied by sampling years,,Changes+in+microbial+communities+of+a+passive+coal+mine+drainage+bioremediation+system_.csv,,,,,,,Temperatures during data collection varied; differences related to years of sampling.,
,,,Changes+in+microbial+communities+of+a+passive+coal+mine+drainage+bioremediation+system_.csv,,"Proteobacteria, Bacteroidetes, Firmicutes, Verrucomicrobia",,,,,Microbial communities varied across the five ponds with different organisms represented.,
,,,Changes+in+microbial+communities+of+a+passive+coal+mine+drainage+bioremediation+system_.csv,,"Anaeromyxobacter, Desulfobacterium, Desulfobulbus",,,,,These genera were among the common organisms found in anaerobic conditions.,
,,,Changes+in+microbial+communities+of+a+passive+coal+mine+drainage+bioremediation+system_.csv,,"Solitalea, Pedosphaera, Rhodocyclus, Alkaliflexus, Chitinophaga",,,,,These genera were significantly represented in Pond 1.,
,,,Changes+in+microbial+communities+of+a+passive+coal+mine+drainage+bioremediation+system_.csv,,"Ignavibacterium, Pelotomaculum",,,,,Notable fold change between wetlands and Pond 1.,
,,,Changes+in+microbial+communities+of+a+passive+coal+mine+drainage+bioremediation+system_.csv,,"Geobacter, Cytophaga",,,,,Present in the top three genera among all five sites.,
,,,Changes+in+microbial+communities+of+a+passive+coal+mine+drainage+bioremediation+system_.csv,,Bacteroidetes,,,,,This group was present in all five sites examined.,
,,,Changes+in+microbial+communities+of+a+passive+coal+mine+drainage+bioremediation+system_.csv,,"Desulfobacterium, Desulfobulbus",,,,,Found in similar conditions and part of the sulfur cycle.,
37°C,4 hours,,Control+of+Pellet+Morphology+in+Fluidized+Bed+Reactor_.csv,,Phanerochaete chrysosporium,,0.6 cm x 1 cm polyurethane foam pellets,shaking,,Increased 90% of bottom covered with mycelium,mycelium
,14 days,,Control+of+Pellet+Morphology+in+Fluidized+Bed+Reactor_.csv,,Phanerochaete chrysosporium,,0.6 cm x 1 cm polyurethane foam pellets,stirring,maximum activity of 570 Units/L,Higher enzyme productivity than reported by Moreira et al. (1997),mycelium
room temperature,5 days,,Control+of+Pellet+Morphology+in+Fluidized+Bed+Reactor_.csv,naphthalene,Rhus vernicifera,10 mg/L,36 Units/L,shaking,26% degradation,Used syringaldazine as the mediating substrate,
room temperature,5 days,,Control+of+Pellet+Morphology+in+Fluidized+Bed+Reactor_.csv,MTBE,Rhus vernicifera,1000 ppm,72 Units/L,shaking,38% degradation,Laccase derived from the fungi used as mediator,
room temperature,5 days,,Control+of+Pellet+Morphology+in+Fluidized+Bed+Reactor_.csv,MTBE,Rhus vernicifera,10000 ppm,144 Units/L,shaking,37% degradation,Further increase from 72 to 144 Units/L did not increase degradation,
30°C,48 h,7.0,Decolorization+of+azo+dyes+and+simulated+dye+bath+wastewater+using+acclimatized+microbial+consortium--biostimulation+and+halo+tolerance_.csv,Disperse Blue 64,Aspergillus flavus,50 mg/L,,static,96.7%,,whole fungi
30°C,48 h,7.0,Decolorization+of+azo+dyes+and+simulated+dye+bath+wastewater+using+acclimatized+microbial+consortium--biostimulation+and+halo+tolerance_.csv,Acid Yellow 17,Aspergillus flavus,50 mg/L,,static,90.1%,,whole fungi
30°C,48 h,7.0,Decolorization+of+azo+dyes+and+simulated+dye+bath+wastewater+using+acclimatized+microbial+consortium--biostimulation+and+halo+tolerance_.csv,Disperse Blue 64,Aspergillus flavus,300 mg/L,,static,30.3%,,whole fungi
30°C,48 h,7.0,Decolorization+of+azo+dyes+and+simulated+dye+bath+wastewater+using+acclimatized+microbial+consortium--biostimulation+and+halo+tolerance_.csv,Acid Yellow 17,Aspergillus flavus,300 mg/L,,static,4.6%,,whole fungi
30°C,48 h,7.0,Decolorization+of+azo+dyes+and+simulated+dye+bath+wastewater+using+acclimatized+microbial+consortium--biostimulation+and+halo+tolerance_.csv,Disperse Blue 64,Aspergillus flavus,100 mg/L,,static,>99% ±0.8,,whole fungi
30°C,48 h,7.0,Decolorization+of+azo+dyes+and+simulated+dye+bath+wastewater+using+acclimatized+microbial+consortium--biostimulation+and+halo+tolerance_.csv,Acid Yellow 17,Aspergillus flavus,100 mg/L,,static,>99% ±0.8,,whole fungi
30°C,48 h,7.0,Decolorization+of+azo+dyes+and+simulated+dye+bath+wastewater+using+acclimatized+microbial+consortium--biostimulation+and+halo+tolerance_.csv,Disperse Blue 64,Aspergillus flavus and Pseudomonas aeruginosa,300 mg/L,,static,55.2%,,whole fungi and bacterial mass
30°C,48 h,7.0,Decolorization+of+azo+dyes+and+simulated+dye+bath+wastewater+using+acclimatized+microbial+consortium--biostimulation+and+halo+tolerance_.csv,Acid Yellow 17,Aspergillus flavus and Pseudomonas aeruginosa,300 mg/L,,static,57.6%,,whole fungi and bacterial mass
30 ± 3 ºC,20 days,10.0,Biodegradation+and+biosorption+of+acid+anthraquinone+dye_.csv,Indanthrene Blue RS,Bacterial consortium,500 mg L-1,3.0 x 10^6 CFU mL-1,Continuous up-flow,90%,The study explores various flow rates and concentration settings.,Bacterial consortium
30 ± 3 ºC,20 days,10.0,Biodegradation+and+biosorption+of+acid+anthraquinone+dye_.csv,Indanthrene Blue RS,Bacterial consortium,100 mg L-1,3.0 x 10^6 CFU mL-1,Continuous up-flow,above 90%,Explored in combination with flow rate affecting removal efficiency.,Bacterial consortium
30 ± 3 ºC,20 days,10.0,Biodegradation+and+biosorption+of+acid+anthraquinone+dye_.csv,Indanthrene Blue RS,Bacterial consortium,200 mg L-1,3.0 x 10^6 CFU mL-1,Continuous up-flow,above 90%,Combined with varying inlet loading rates.,Bacterial consortium
30 ± 3 ºC,20 days,10.0,Biodegradation+and+biosorption+of+acid+anthraquinone+dye_.csv,Indanthrene Blue RS,Bacterial consortium,300 mg L-1,3.0 x 10^6 CFU mL-1,Continuous up-flow,above 90%,The study also explores the effect of variable feed flow rates.,Bacterial consortium
30 ± 3 ºC,20 days,10.0,Biodegradation+and+biosorption+of+acid+anthraquinone+dye_.csv,Indanthrene Blue RS,Bacterial consortium,400 mg L-1,3.0 x 10^6 CFU mL-1,Continuous up-flow,decreased significantly,Observed a decrease in removal efficiency at higher concentrations.,Bacterial consortium
30 ± 3 ºC,20 days,10.0,Biodegradation+and+biosorption+of+acid+anthraquinone+dye_.csv,Indanthrene Blue RS,Bacterial consortium,500 mg L-1,3.0 x 10^6 CFU mL-1,Continuous up-flow,around 75.2%,The relationship between the inlet loading rates and removal efficiencies was analyzed.,Bacterial consortium
30 ºC,24 hours,10.0,Biodegradation+and+biosorption+of+acid+anthraquinone+dye_.csv,Indanthrene Blue RS,Bacterial consortium,200 mg L-1,1.5 x 10^6 CFU mL-1,Batch reactor,95.2%,Tested under optimized conditions for batch processing.,Bacterial consortium
37 °C,3 days,4.0-5.0,Effect+of+incubation+method+on+the+growth+suppression+of+bacteria+or+fungi+for+dye+degraded+by+Phanerochaete+chrysosporium_.csv,Reactive brilliant red K-2BP,Phanerochaete chrysosporium,30 mg/L,2.5 x 10^6 spores,reciprocating shaker,93.5%,Higher MnP activity (690 U/L vs. 125 U/L) and shorter reaction period achieved in immobilized cultures.,mycelium
37 °C,6 days,not specified,Effect+of+incubation+method+on+the+growth+suppression+of+bacteria+or+fungi+for+dye+degraded+by+Phanerochaete+chrysosporium_.csv,Reactive brilliant red K-2BP,Phanerochaete chrysosporium,30 mg/L,2.5 x 10^6 spores,reciprocating shaker,15%,Suspended culture was highly contaminated.,mycelium
37 °C,3 days,not specified,Effect+of+incubation+method+on+the+growth+suppression+of+bacteria+or+fungi+for+dye+degraded+by+Phanerochaete+chrysosporium_.csv,Reactive brilliant red K-2BP,Phanerochaete chrysosporium,30 mg/L,2.5 x 10^6 spores,reciprocating shaker,up to 70%,Under non-sterile conditions.,mycelium
37 °C,1 day,not specified,Effect+of+incubation+method+on+the+growth+suppression+of+bacteria+or+fungi+for+dye+degraded+by+Phanerochaete+chrysosporium_.csv,Reactive brilliant red K-2BP,Phanerochaete chrysosporium,30 mg/L,2.5 x 10^6 spores,reciprocating shaker,up to 69%,Under non-sterile conditions.,mycelium
37 °C,3 days,not specified,Effect+of+incubation+method+on+the+growth+suppression+of+bacteria+or+fungi+for+dye+degraded+by+Phanerochaete+chrysosporium_.csv,Reactive brilliant red K-2BP,Phanerochaete chrysosporium,30 mg/L,2.5 x 10^6 spores,reciprocating shaker,93.5%,Immobilized cultures grown under sterile conditions then added with dye under non-sterile conditions achieved high decolorization.,mycelium
28 ± 2,137.5,4.75,Reactive+dye+bioaccumulation+by+Saccharomyces+cerevisiae_.csv,Reactive Red 120,Saccharomyces cerevisiae,16.25,4.75,shaking,87.47,,whole fungi
28 ± 2,95.0,6.5,Reactive+dye+bioaccumulation+by+Saccharomyces+cerevisiae_.csv,Reactive Red 120,Saccharomyces cerevisiae,27.5,6.5,shaking,93.45,,whole fungi
28 ± 2,137.5,4.75,Reactive+dye+bioaccumulation+by+Saccharomyces+cerevisiae_.csv,Reactive Red 120,Saccharomyces cerevisiae,16.25,8.25,shaking,93.03,,whole fungi
28 ± 2,95.0,6.5,Reactive+dye+bioaccumulation+by+Saccharomyces+cerevisiae_.csv,Reactive Red 120,Saccharomyces cerevisiae,27.5,3.0,shaking,96.09,,whole fungi
28 ± 2,52.5,8.25,Reactive+dye+bioaccumulation+by+Saccharomyces+cerevisiae_.csv,Reactive Red 120,Saccharomyces cerevisiae,38.75,8.25,shaking,58.61,,whole fungi
28 ± 2,95.0,6.5,Reactive+dye+bioaccumulation+by+Saccharomyces+cerevisiae_.csv,Reactive Red 120,Saccharomyces cerevisiae,5.0,6.5,shaking,85.92,,whole fungi
28 ± 2,95.0,6.5,Reactive+dye+bioaccumulation+by+Saccharomyces+cerevisiae_.csv,Reactive Red 120,Saccharomyces cerevisiae,50.0,6.5,shaking,56.42,,whole fungi
28 ± 2,52.5,4.75,Reactive+dye+bioaccumulation+by+Saccharomyces+cerevisiae_.csv,Reactive Red 120,Saccharomyces cerevisiae,16.25,8.25,shaking,66.6,,whole fungi
28 ± 2,52.5,4.75,Reactive+dye+bioaccumulation+by+Saccharomyces+cerevisiae_.csv,Reactive Red 120,Saccharomyces cerevisiae,16.25,4.75,shaking,99.97,,whole fungi
28 ± 2,95.0,6.5,Reactive+dye+bioaccumulation+by+Saccharomyces+cerevisiae_.csv,Reactive Red 120,Saccharomyces cerevisiae,27.5,10.0,shaking,99.11,,whole fungi
28 ± 2,95.0,6.5,Reactive+dye+bioaccumulation+by+Saccharomyces+cerevisiae_.csv,Reactive Red 120,Saccharomyces cerevisiae,27.5,3.0,shaking,15.23,,whole fungi
30°C,2 days,not specified,Azoreductase+linked+to+heavy+metal+resistance_.csv,Amido Black,Amycolatopsis orientalis SY6,10 µg/ml,not specified,shaking,visible color change from blue to violet,Saw improvement in decolorization with glucose supplementation.,mycelial
37°C,1 hour,not specified,Azoreductase+linked+to+heavy+metal+resistance_.csv,Crystal Violet,Amycolatopsis orientalis SY6,10 µg/ml,not specified,shaking,decolorized to colorless derivatives,Control showed no decolorization.,mycelial
37°C,3 days,not specified,Azoreductase+linked+to+heavy+metal+resistance_.csv,Combined Triphenylmethane Dyes (Crystal Violet + Brilliant Green + Basic Fuchsin + Malachite Green),Amycolatopsis orientalis SY6,10 µg/ml for each dye,not specified,shaking,66% decolorization,All dyes decolorized without affecting each other.,mycelial
30°C,not specified,not specified,Azoreductase+linked+to+heavy+metal+resistance_.csv,Crystal Violet,Streptomyces lividans,10 µg/ml,not specified,shaking,partial decolorization,Yellow-colored supernatant observed.,mycelial
not specified,not specified,not specified,Azoreductase+linked+to+heavy+metal+resistance_.csv,Amido Black,Streptomyces lividans,10 µg/ml,not specified,not specified,partial decolorization,Limited to known conditions specific to this fungi.,mycelial
not specified,varied by dye,not specified,Azoreductase+linked+to+heavy+metal+resistance_.csv,Various Dyes,Streptomyces lividans,10 µg/ml,not specified,shaking,dependent on which dye and conditions but some achieved full decolorization,Attached dyes on cell wall.,mycelial
30°C,60 minutes,7,Chemical+pretreatment+and+aerobic%E2%80%93anaerobic+degradation+of+textile+dye+wastewater_.csv,Acid Red 131,Aspergillus niger,100 mg/L,24hr old culture,shaking,maximum decolorization,Absorbance decrease monitored at 550nm,whole fungi
30°C,60 minutes,7,Chemical+pretreatment+and+aerobic%E2%80%93anaerobic+degradation+of+textile+dye+wastewater_.csv,Acid Red 131,Aspergillus niger,75 mg/L,24hr old culture,shaking,maximum decolorization,Absorbance decrease monitored at 550nm,whole fungi
40°C,60 minutes,7,Chemical+pretreatment+and+aerobic%E2%80%93anaerobic+degradation+of+textile+dye+wastewater_.csv,Acid Red 131,Aspergillus niger,100 mg/L,24hr old culture,shaking,observed decolorization,,whole fungi
50°C,60 minutes,7,Chemical+pretreatment+and+aerobic%E2%80%93anaerobic+degradation+of+textile+dye+wastewater_.csv,Acid Red 131,Aspergillus niger,100 mg/L,24hr old culture,shaking,observed decolorization,,whole fungi
30°C,60 minutes,5,Chemical+pretreatment+and+aerobic%E2%80%93anaerobic+degradation+of+textile+dye+wastewater_.csv,Acid Red 131,Aspergillus niger,100 mg/L,24hr old culture,shaking,minimal decolorization,,whole fungi
30°C,60 minutes,6,Chemical+pretreatment+and+aerobic%E2%80%93anaerobic+degradation+of+textile+dye+wastewater_.csv,Acid Red 131,Aspergillus niger,100 mg/L,24hr old culture,shaking,observed decolorization,,whole fungi
38°C,15 min,7.0,The+function+of+cytoplasmic+flavin+reductases+in+the+reduction+of+azo+dyes+by+bacteria_.csv,Flame Orange,Bacillus cereus,200 μg/ml,1 U/ml,shaking,Complete decolorization,Measured using UV-visible spectroscopy,Whole fungi
38°C,15 min,7.0,The+function+of+cytoplasmic+flavin+reductases+in+the+reduction+of+azo+dyes+by+bacteria_.csv,Ruby Red,Bacillus cereus,200 μg/ml,1 U/ml,shaking,Complete decolorization,Measured using UV-visible spectroscopy,Whole fungi
Not specified,1 hour,Not specified,The+function+of+cytoplasmic+flavin+reductases+in+the+reduction+of+azo+dyes+by+bacteria_.csv,Indigo Carmine,Bacillus cereus,Varied based on experimental setup,Not specified,Not specified,Color change from blue to yellow observed,Followed up with reoxidation using H2O2,Whole fungi
40 °C,3h,8,Molecular+approaches+for+bacterial+azoreductases_.csv,Reactive Violet 5R,Enterococcus sp. L2,100 mg/L,,static,>90%,Most effective strain identified.,whole fungi
37 °C,6h,,Molecular+approaches+for+bacterial+azoreductases_.csv,Methyl Red,Enterococcus sp. L2,100 mg/L,,,99%,Decolored in 6h.,whole fungi
40 °C,15h,,Molecular+approaches+for+bacterial+azoreductases_.csv,Reactive Violet 5R,Klebsiella sp. K1,100 mg/L,,static,91.82%,Influenced by redox mediator.,whole fungi
40 °C,15h,,Molecular+approaches+for+bacterial+azoreductases_.csv,Reactive Violet 5R,Klebsiella sp. E2,100 mg/L,,static,87.89%,Influenced by redox mediator.,whole fungi
40 °C,15h,,Molecular+approaches+for+bacterial+azoreductases_.csv,Reactive Violet 5R,Acinetobacter sp. L1,100 mg/L,,static,74.46%,Influenced by redox mediator.,whole fungi
,6h,,Molecular+approaches+for+bacterial+azoreductases_.csv,Reactive Violet 5R,Enterococcus sp. L2 (fdh transformant),100 mg/L,,,73.45%,3.2 fold increase compared to vector control.,whole fungi
,6h,,Molecular+approaches+for+bacterial+azoreductases_.csv,Reactive Violet 5R,Enterococcus sp. L2 (vector control),100 mg/L,,,22.97%,Control for fdh transformant.,whole fungi
,,,Molecular+approaches+for+bacterial+azoreductases_.csv,Reactive Violet 5R,Enterococcus sp. L2 (at different NaCl concentrations),100 mg/L,,,Highest decolorization at 0.5-2% NaCl,Salinity studied.,whole fungi
,,7-8,Molecular+approaches+for+bacterial+azoreductases_.csv,Reactive Violet 5R,Enterococcus sp. L2 (different pH conditions),100 mg/L,,,Optimum at pH 7-8,pH effect on decolorization.,whole fungi
35-40 °C,,,Molecular+approaches+for+bacterial+azoreductases_.csv,Reactive Violet 5R,Enterococcus sp. L2 (temperature study),100 mg/L,,,Complete decolorization between 35 to 40 °C,Temperature effect on decolorization.,whole fungi
not specified,not specified,not specified,Decolorization%2C+degradation+and+azo-reductase+study+by+bacterial+transformation+of+reactive+red+HE8b_.csv,Reactive azo dye (C.I. Red 198),not specified,not specified,not specified,not specified,biodegradation observed,"Biodegradation, decolorization, and biomethanation of dyestuff wastewaters.",not specified
not specified,not specified,not specified,Decolorization%2C+degradation+and+azo-reductase+study+by+bacterial+transformation+of+reactive+red+HE8b_.csv,Direct Red 81,not specified,not specified,not specified,not specified,decolorization achieved,Study on effectiveness with a bacterial consortium.,not specified
not specified,not specified,not specified,Decolorization%2C+degradation+and+azo-reductase+study+by+bacterial+transformation+of+reactive+red+HE8b_.csv,Reactive Blue 222,not specified,not specified,not specified,not specified,biodegradation study,Bacterial consortium used for biodegradation.,not specified
